Timetstamp	FPA	C9	Sigma	C25	Sigma	D13	Sigma	D25	Sigma	R8	Sigma
1512555084793	18.57	8134.44	1.66667	8134.52	2.18174	8134.23	1.7867	8134.56	2.39931	8134.76	2.46808
1512555085842	18.57	8133	1.41421	8133.24	2.25979	8133.31	1.79743	8133.28	2.31876	8133.84	2.43458
1512555086845	18.56	8132.56	2.35112	8132.72	2.26421	8132.85	2.23033	8132.68	2.35797	8133.58	2.54849
1512555088012	18.57	8133.89	1.76383	8134.8	2.91548	8134.38	2.25605	8134.36	2.72152	8135.3	2.55417
1512555089032	18.56	8134.11	1.45297	8134.28	2.15097	8134.15	1.77229	8134.28	2.28254	8134.84	2.39285
1512555090140	18.57	8134.44	1.50923	8134.56	2.59936	8134.38	1.93815	8134.48	2.7556	8135.28	2.65645
1512555091174	18.57	8133.67	1.80278	8134.28	2.31876	8133.85	2.54448	8134.04	2.66896	8134.63	2.41402
1512555092258	18.57	8133.56	1.74005	8134.28	2.09205	8133.77	2.0064	8134.12	2.00666	8134.29	2.29328
1512555093353	18.57	8134	1.65831	8133.68	2.01494	8133.92	1.44115	8133.72	2.05183	8133.64	2.28287
1512555094379	18.59	8134.78	1.09291	8134.68	1.81934	8134.92	1.25576	8134.6	1.89297	8134.14	2.18806
1512555095514	18.59	8133.56	1.50923	8133.12	1.96469	8133.23	1.58923	8133.12	1.94336	8133.05	2.20154
1512555096528	18.57	8133.78	1.48137	8133.64	1.8	8133.31	1.6525	8133.48	1.80555	8134.12	2.32542
1512555097625	18.57	8134.44	2.29734	8134.24	2.10713	8134.38	2.43374	8134.2	2.32737	8134.99	2.56072
1512555098710	18.57	8135.33	1.5	8134.92	1.68127	8135.15	1.51911	8134.92	2.01908	8135.42	2.45921
1512555099735	18.57	8133.67	2.06155	8133.64	2.01825	8133.69	1.84321	8133.48	1.93907	8134.12	2.44125
1512555100764	18.57	8133.89	2.52212	8133.72	2.24574	8134	2.51661	8133.92	2.3615	8134.36	2.4902
1512555101786	18.57	8135	2.5	8134.4	2.19848	8134.77	2.20431	8134.36	2.30723	8134.34	2.23503
1512555102812	18.59	8135.22	1.98606	8134.6	1.89297	8135	1.77951	8134.56	1.82757	8134.49	2.36757
1512555103838	18.59	8134.33	1.73205	8134.68	2.17409	8134.46	2.10616	8134.56	2.2745	8135.16	2.20796
1512555104863	18.57	8136	2.39792	8135.56	1.91659	8135.69	2.3939	8135.32	2.03552	8134.97	2.22072
1512555105889	18.57	8135.56	2.06828	8135.76	2.29637	8135.46	2.87563	8135.52	2.45153	8135.78	2.3945
1512555106915	18.57	8134.78	2.63523	8135.76	2.74287	8135.23	3.05924	8135.72	2.65393	8135.7	2.29421
1512555107988	18.57	8135.89	1.53659	8136.28	1.96893	8135.92	1.65638	8136.16	1.81842	8135.95	2.12938
1512555109080	18.57	8134.33	1.80278	8134.6	2.10159	8134.46	2.10616	8134.52	2.04369	8134.63	2.21134
1512555110106	18.57	8134.22	1.39443	8133.88	2.26053	8134	1.77951	8133.88	2.27889	8133.57	2.25844
1512555111118	18.57	8134.56	1.5899	8134.36	1.72916	8134.54	1.76141	8134.4	1.77951	8134.67	2.5945
1512555112166	18.57	8135.22	2.04803	8135.28	2.09205	8135.15	2.37508	8135.36	2.11896	8135.8	2.33689
1512555113183	18.59	8134.44	1.87824	8134.8	3.01386	8134.77	2.89119	8134.92	3.20052	8135.39	2.35858
1512555114208	18.57	8133.44	1.33333	8133.44	2.04287	8133.62	1.85016	8133.44	2.16179	8133.99	2.12129
1512555115234	18.59	8134.33	1.73205	8134	2.53311	8134.15	2.30384	8133.84	2.4779	8133.7	2.29648
1512555116309	18.59	8134.67	1.5	8133.88	2.4379	8134.31	2.49615	8133.92	2.3615	8133.5	2.12408
1512555117383	18.59	8134	2.06155	8134.12	2.18556	8134.23	2.24179	8134.16	2.30362	8134.27	2.22959
1512555118409	18.57	8133.56	2.4037	8133.72	2.18937	8133.46	2.63361	8133.8	2.34521	8134.58	2.4486
1512555119461	18.59	8133.78	1.7873	8133.76	2.10713	8133.69	2.25036	8133.8	2	8134.27	2.17226
1512555120587	18.59	8134.22	1.7873	8134.24	1.71464	8134.46	1.85362	8134.2	1.65831	8134.45	1.9735
1512555121626	18.59	8135.33	2	8135.36	1.9975	8135.31	2.09701	8135.16	1.88591	8135.61	2.12876
1512555122672	18.6	8135.78	2.04803	8134.96	2.22636	8135.15	2.23033	8134.96	2.47454	8134.99	2.32401
1512555123697	18.59	8135.22	1.64148	8134.72	1.67133	8134.77	2.0064	8134.76	1.89912	8134.45	2.15019
1512555124722	18.59	8133.89	2.02759	8134.4	2.21736	8134.15	2.33973	8134.56	2.23756	8134.65	2.17711
1512555125747	18.59	8134.22	1.7873	8134.52	2.18174	8134.23	2.24179	8134.44	2.00167	8134.9	2.2476
1512555126842	18.59	8133.78	1.98606	8133.76	2.40278	8133.62	2.39925	8133.6	2.43242	8134.13	2.19433
1512555127868	18.6	8132.78	2.04803	8132.92	2.5318	8132.85	2.44425	8132.96	2.4235	8134.12	2.52101
1512555128894	18.59	8133.22	1.56347	8133.2	2.10159	8133.15	1.95133	8133.32	1.8421	8134.07	2.22219
1512555129967	18.57	8135.11	1.45297	8135.08	1.99833	8135.31	1.88788	8135	2.10159	8135.2	2.10223
1512555130988	18.57	8135.44	1.5899	8135.76	2.45425	8135.69	2.6263	8135.48	2.43447	8135.62	2.27031
1512555132009	18.6	8135.78	1.64148	8135.76	2.10713	8135.77	2.12736	8135.48	1.98158	8135.57	2.26765
1512555133041	18.57	8134.22	2.04803	8134.32	2.23084	8134.38	2.2188	8134.52	2.27523	8134.83	2.31093
1512555134048	18.59	8135.33	1.5	8135.76	2.83255	8135.38	2.69377	8135.68	2.73435	8135.65	2.65336
1512555135161	18.57	8134.56	1.33333	8135.32	2.96816	8134.69	2.86893	8135.24	2.84722	8135.25	2.58407
1512555136214	18.59	8134.78	1.30171	8134.36	2.53114	8134.46	2.02548	8134.44	2.41661	8134.99	2.34962
1512555137258	18.59	8133.89	1.61589	8133.84	1.97231	8134	1.77951	8133.76	1.78606	8134.5	2.1533
1512555138264	18.57	8135.22	1.48137	8134.92	1.95619	8135.31	1.70219	8134.96	1.85921	8135.06	2.45295
