Timetstamp	FPA	C9	Sigma	C25	Sigma	D13	Sigma	D25	Sigma	R8	Sigma
1512556841805	25.53	7968.11	1.90029	7968.24	1.80924	7968.23	1.7867	7968.12	1.58955	7968.64	2.0645
1512556842836	25.53	7967.44	1.33333	7967.88	1.9	7967.62	1.85016	7967.88	1.96469	7968.86	2.41655
1512556843877	25.53	7967.56	2.29734	7968.4	2.32737	7967.69	2.17503	7967.96	2.18861	7968.58	2.3441
1512556844882	25.54	7968.56	2.50555	7968.44	2.41661	7968.31	2.42846	7968	2.43242	7967.85	2.3592
1512556845908	25.53	7967.22	2.3863	7967.28	2.38956	7966.85	2.19265	7967.08	2.44813	7967.42	2.49913
1512556846925	25.54	7968.56	2.50555	7968.4	2.27303	7968.23	2.45472	7968.28	2.35443	7968.72	2.4993
1512556848063	25.54	7968.56	2.18581	7968.8	2.34521	7968.31	2.46254	7968.68	2.49533	7969.4	2.54161
1512556849143	25.53	7967.22	1.48137	7967.52	2.10396	7967.31	1.97419	7967.56	2.21886	7968.17	2.46295
1512556850248	25.52	7968.67	2.12132	7969.2	2.3094	7969.15	2.85325	7969.2	2.36291	7969.51	2.62821
1512556851292	25.54	7969	2.12132	7968.68	2.17409	7968.77	2.16617	7968.88	2.10792	7968.78	2.08594
1512556852306	25.53	7967.11	1.90029	7967.4	1.97906	7967.08	2.01914	7967.48	1.91746	7967.9	2.07305
1512556853346	25.53	7967.89	2.36878	7968.68	2.13542	7968.54	2.63361	7968.72	2.11187	7968.97	2.23242
1512556854370	25.52	7968.78	2.04803	7968.28	1.96893	7968.62	1.80455	7968.4	1.93649	7968.35	2.15752
1512556855414	25.52	7969.56	1.424	7969.4	1.58114	7969.46	1.71345	7969.4	1.5	7969.82	2.25001
1512556856513	25.52	7971.44	2.24227	7970.68	2.19317	7971.23	2.12736	7970.84	1.97231	7970.24	2.38218
1512556857548	25.52	7969.44	3.04594	7969.28	2.74651	7969.23	3.05924	7969.2	2.70801	7970.03	2.40855
1512556858573	25.53	7970.33	1.65831	7970.68	1.81934	7970.92	2.326	7970.92	2.1	7970.21	1.96889
1512556859584	25.53	7967.78	1.30171	7968.48	1.89561	7968.38	1.98068	7968.44	2.04287	7968.61	2.04643
1512556860638	25.54	7965.89	1.45297	7966.52	1.89561	7966.23	2.24179	7966.52	1.96044	7966.75	2.15549
1512556861686	25.54	7966	1.80278	7966.36	1.72916	7966.38	1.93815	7966.64	1.84572	7966.7	2.18729
1512556862712	25.54	7966.11	1.2693	7966.04	1.83666	7966.23	1.36344	7966.44	1.89473	7966.04	2.16355
1512556863729	25.54	7965.33	1.5	7965.36	1.72916	7965.31	1.6525	7965.2	1.65831	7965.54	2.2591
1512556864841	25.55	7965.44	1.5899	7965.72	1.74452	7965.54	1.85362	7965.56	1.80462	7965.51	2.27328
1512556865867	25.54	7966.67	2	7966.64	1.89033	7966.85	2.19265	7966.8	2	7967.01	2.059
1512556866893	25.55	7966	1.87083	7966.32	2.24944	7966.15	2.1543	7966.36	2.30723	7967	2.4367
1512556867967	25.54	7966.22	1.7873	7966.32	1.67631	7966.15	1.57301	7966.2	1.77951	7966.46	2.2661
1512556869042	25.54	7967.11	1.90029	7967.16	2.05508	7967.31	2.05688	7967.28	1.98997	7967.01	2.10777
1512556870059	25.54	7968.33	2	7967.88	2.1276	7968.23	1.87767	7967.96	2.11108	7967.47	2.21276
1512556871121	25.54	7965.89	1.76383	7965.76	1.56205	7965.85	1.57301	7966.04	1.7195	7966.19	2.30182
1512556872135	25.54	7966.33	1.80278	7965.6	1.84842	7966.08	1.801	7965.96	1.98914	7966.37	2.15165
1512556873145	25.54	7967.67	1.22474	7967.6	1.52753	7967.54	1.26592	7967.68	1.6	7967.32	2.14097
1512556874197	25.54	7968.67	1.5	7968.24	1.94251	7968.54	1.5064	7968.12	1.78699	7968.09	2.09702
1512556875242	25.55	7966.33	1.80278	7966.32	2.13542	7966.31	1.70219	7966.04	1.79072	7966.88	2.26184
1512556876271	25.55	7968.44	2.92024	7968.44	2.64701	7968.54	2.69615	7968.56	2.43379	7967.98	2.24759
1512556877377	25.54	7968.33	1.5	7968.04	1.48549	7968.38	1.55662	7968.28	1.48661	7967.55	2.05101
1512556878387	25.54	7969	1.80278	7968.4	1.75594	7968.85	1.90815	7968.6	1.75594	7967.82	2.12702
1512556879428	25.54	7967.33	1.32288	7967.08	1.44106	7967.38	1.50214	7967.08	1.49778	7966.83	1.96147
1512556880438	25.54	7967	1.80278	7966.68	1.74929	7967.08	1.84669	7966.8	1.82574	7966.4	1.93956
1512556881487	25.55	7968.22	1.71594	7966.92	2.01908	7967.85	1.95133	7967.24	1.78606	7966.87	2.12193
