Timetstamp	FPA	C9	Sigma	C25	Sigma	D13	Sigma	D25	Sigma	R8	Sigma
1512550587361	27.48	7651	2.54951	7650.28	4.2868	7650.62	3.0697	7649.8	3.01386	7649.13	5.49231
1512550588403	27.47	7651	2.17945	7650.56	3.96947	7650.69	2.56205	7649.88	2.77369	7649.1	5.43097
1512550589428	27.48	7650.11	1.96497	7650.76	3.92938	7650.46	2.3315	7650.2	2.06155	7649.54	5.2131
1512550590462	27.47	7651.78	1.7873	7652.08	4.1825	7651.92	2.49872	7651.28	2.28254	7650.38	5.48465
1512550591463	27.45	7650.56	1.66667	7650.24	4.27473	7650.23	2.12736	7649.52	2.32952	7649.72	5.35261
1512550592524	27.45	7651.56	2.45515	7652.24	5.10947	7651.31	2.42846	7651.28	2.79165	7651.05	6.00979
1512550593561	27.44	7652	2.12132	7651.84	4.1501	7651.38	2.25605	7650.96	2.22636	7651.34	5.30695
1512550594566	27.43	7651.56	2.00693	7651.76	4.09553	7651.15	1.99358	7651.2	1.91485	7650.65	5.27165
1512550595590	27.43	7653.56	2.96273	7653.32	4.01788	7653.31	2.83974	7652.8	2.5658	7652.24	5.12122
1512550596616	27.41	7652.44	1.94365	7652	3.65148	7652.23	2.24179	7651.64	2.15793	7651.17	5.07378
1512550597643	27.4	7651.89	2.31541	7651.56	3.7758	7651.62	2.36426	7651.08	2.1	7650.72	5.10662
1512550598669	27.4	7653.22	1.85592	7652.6	3.90512	7652.77	2.74329	7652.16	2.65644	7651.73	5.44766
1512550599679	27.4	7660.44	3.35824	7659.48	5.59106	7659.69	3.66025	7658.88	3.52751	7657.79	6.83979
1512550600720	27.39	7659.22	3.19287	7659.8	5	7659.15	3.21056	7658.92	3.04029	7658.51	6.3493
1512550601725	27.38	7659	2.78388	7659.4	4.94975	7658.77	2.65059	7658.64	2.53114	7658.58	6.49559
1512550602774	27.38	7659.56	2.83333	7659.92	4.73392	7659.23	3.00427	7659.04	2.96479	7658.9	6.41934
1512550603818	27.37	7659.67	2.17945	7660.12	5.3799	7659.69	2.09701	7659.32	2.41039	7659.61	7.22548
1512550604944	27.36	7654.67	1.73205	7654.68	4.42267	7654.54	2.3315	7654	2.53311	7654.06	5.37803
1512550605964	27.36	7656.67	1.32288	7656.2	4.36845	7656.38	1.60927	7655.52	1.91746	7655.1	5.53734
1512550607026	27.35	7653.11	1.45297	7652.92	4.39621	7652.85	2.0755	7652.28	2.18937	7652.62	5.25465
1512550608211	27.34	7653.33	1	7652.96	4.15812	7653.08	1.89128	7652.4	2	7652.72	4.94729
1512550609241	27.33	7654.78	1.92209	7654.16	4.19007	7654.31	1.84321	7653.64	2.07926	7652.99	5.10513
1512550610283	27.34	7652	2.23607	7652	4.37798	7651.77	2.38586	7651.52	2.32952	7651.46	5.29738
1512550611309	27.32	7650.89	1.2693	7651.08	4.22216	7650.77	1.83275	7650.6	2.08167	7650.58	5.22671
1512550612344	27.32	7651.11	1.83333	7651.12	4.19643	7651.08	2.326	7650.6	2.32737	7650.06	5.15654
1512550613369	27.31	7653.44	2.55495	7653.8	4.38748	7653.46	2.40192	7653	2.44949	7652.54	5.3248
1512550614414	27.31	7652.89	3.68932	7653.2	4.60072	7652.69	3.521	7652.6	3.14907	7652.07	5.34153
1512550615509	27.29	7652.11	2.08833	7652.84	3.97576	7652.23	2.16617	7652.28	2.33666	7652.01	5.16044
1512550616600	27.28	7652.33	2.64575	7653	4.69042	7652.46	2.60177	7652.64	2.46441	7652.61	5.4074
1512550617691	27.27	7652.67	2.34521	7653.52	4.81422	7652.69	2.42846	7652.64	2.27083	7652.93	5.63662
1512550618716	27.27	7653.33	2.82843	7654	4.36845	7653.62	2.69377	7653.48	2.502	7653.91	5.51301
1512550619737	27.27	7653.44	1.81046	7653.28	3.75855	7653.38	1.98068	7652.88	2.08806	7652.9	5.28654
1512550620768	27.26	7652.78	2.68225	7653.08	4.36768	7652.62	2.75495	7652.56	2.63122	7653.06	5.44922
1512550621777	27.24	7652.22	2.68225	7653.12	4.0653	7652.38	2.69377	7652.52	2.32952	7653.55	5.09789
1512550622811	27.25	7655	1.93649	7655.04	4.19802	7654.85	2.51151	7654.56	2.58328	7654.56	5.33436
1512550623951	27.25	7653.78	1.56347	7653.68	4.0694	7653.77	2.20431	7653.12	2.06801	7652.88	5.05543
1512550624984	27.23	7653.78	2.04803	7654.16	4.19007	7653.85	1.99358	7653.72	2.15097	7653.64	5.24137
1512550625995	27.23	7653.67	2.69258	7654.2	3.89444	7653.69	2.35884	7653.6	2.08167	7652.98	5.07288
1512550627021	27.23	7653.56	2.87711	7653.84	4.34626	7653.46	2.69615	7653.12	2.50533	7652.39	5.35697
1512550628055	27.22	7653.78	2.16667	7654.32	4.14045	7653.92	2.28989	7653.76	2.25979	7652.49	5.54161
FFC
1512550629067	27.24	7653.67	1.73205	7653.6	4.04145	7653.69	2.28709	7652.84	2.80891	7652.42	5.07394
1512550630112	27.32	7653.67	1.73205	7653.6	4.04145	7653.69	2.28709	7652.84	2.80891	7652.42	5.07394
1512550631126	27.32	7679.56	2.29734	7678.68	4.18051	7679	3	7678.48	2.98775	7678.37	5.2016
1512550632163	27.29	7686.11	2.20479	7684.6	3.89444	7685.23	2.48843	7684.52	2.90287	7683.17	5.43364
1512550633249	27.29	7689.67	2	7688.96	4.08738	7689.08	2.92864	7688.44	2.70924	7688.22	5.20488
1512550634339	27.28	7694.56	2.50555	7694.48	4.54716	7694.31	2.75029	7694.12	2.84781	7693.99	5.22114
1512550635469	27.28	7702.67	1.5	7701.52	3.9064	7701.85	2.0755	7701.52	2.502	7700.48	5.31416
1512550636472	27.28	7705.78	1.39443	7704.6	4	7705.08	2.21591	7704.68	2.47857	7704.74	5.27625
1512550637504	27.27	7709.44	2.92024	7709.12	4.25558	7708.92	3.22649	7708.52	2.98775	7709.09	5.12932
