Timetstamp	FPA	C9	Sigma	C25	Sigma	D13	Sigma	D25	Sigma	R8	Sigma
1512463886154	23.29	7893.33	2.44949	7892.84	1.81842	7892.92	2.13937	7892.84	1.67531	7892.93	2.40889
1512463887179	23.3	7901.22	1.85592	7901.92	1.70587	7901.46	1.56074	7901.72	1.69607	7901.97	1.71524
1512463888230	23.3	7903.67	1.73205	7904.04	1.3687	7903.77	1.42325	7903.92	1.6563	7904.17	2.07083
1512463889232	23.29	7908.44	1.5899	7907.88	1.45258	7908.15	1.62512	7907.76	1.42244	7909.22	2.3864
1512463890238	23.3	7912.11	2.14735	7912.32	1.67631	7912.38	1.85016	7912.04	1.54056	7913.04	2.07373
1512463891308	23.29	7919	2	7919.52	2.53509	7919.15	2.60916	7919.2	2.41523	7919.49	2.41331
1512463892323	23.3	7921.89	2.31541	7922.6	2.27303	7922	2.34521	7922.44	2.2745	7923.5	2.08198
1512463893333	23.3	7929	1.73205	7930.36	2.53114	7929.69	2.68901	7930	2.59808	7930.15	2.24611
1512463894424	23.31	7932.33	2.59808	7932.8	2.02073	7932.38	2.59931	7932.24	2.35018	7932.58	2.0325
1512463895514	23.32	7933.11	2.14735	7933.64	1.68028	7933.08	1.93484	7933.32	1.77294	7934.52	2.10177
1512463896589	23.32	7937.67	2.29129	7937.2	1.77951	7937.31	2.21302	7937.24	1.92094	7937.84	2.14333
1512463897680	23.33	7939.33	1.80278	7939.12	1.85562	7938.77	2.31495	7938.72	1.94765	7940.04	2.14047
1512463898705	23.32	7939.56	1.81046	7939.68	1.8421	7939.38	1.93815	7939.52	1.78232	7940.68	1.96596
1512463899779	23.33	7944.33	3.27872	7944.8	2.91548	7944.54	3.3817	7944.4	3.22749	7944.04	2.41819
1512463900786	23.33	7943	2.29129	7944.04	2.18861	7943.23	2.35067	7943.64	2.43036	7944.1	2.01185
1512463901829	23.33	7943.78	1.71594	7944.08	1.82392	7943.46	1.6641	7943.76	1.78606	7944.76	1.81366
1512463902922	23.33	7944.22	2.16667	7944.36	1.89033	7943.92	1.84669	7944.24	2.31445	7944.42	2.27436
1512463904018	23.34	7943.89	1.61589	7943.6	1.55456	7943.46	1.71345	7943.52	1.5843	7944.21	1.8851
1512463905198	23.34	7944.89	1.36423	7944.52	1.71075	7944.23	1.69085	7944.12	1.9218	7944.55	1.85374
1512463906227	23.33	7943.44	1.424	7942.68	1.67631	7942.62	1.80455	7942.64	1.95533	7942.96	1.77768
1512463907302	23.33	7945.22	1.7873	7944.8	1.95789	7944.62	1.93815	7944.68	1.90875	7945.31	1.96713
1512463908325	23.33	7942.44	1.94365	7942.4	1.75594	7942.08	1.75412	7942.16	1.772	7943.37	1.98843
1512463909473	23.33	7944.56	2.00693	7944.48	2.43447	7943.85	2.1543	7944.04	2.22636	7944.32	1.98705
1512463910541	23.32	7943	2.78388	7943.36	2.11896	7942.92	2.46514	7942.96	2.13073	7943.78	1.90041
1512463911567	23.32	7943.22	2.94863	7943.28	2.44131	7943.31	2.75029	7943.2	2.48328	7943.38	1.87276
1512463912653	23.33	7942.11	2.36878	7942.08	1.95619	7941.85	2.11527	7942.08	1.89121	7942.54	1.8568
1512463913748	23.32	7941	1.5	7941.48	1.8735	7940.85	1.72463	7941.04	1.81384	7942.07	2.01314
1512463914774	23.32	7941.22	1.56347	7941.68	2.21209	7941	1.77951	7941.36	2.05913	7942.16	2.20716
1512463915901	23.31	7941.22	1.7873	7941.32	1.74929	7940.85	1.90815	7941.2	2.02073	7941.42	1.8916
1512463916997	23.32	7939.78	2.04803	7940.32	2.39305	7939.54	2.02548	7940.04	2.22636	7940.17	1.88381
1512463918087	23.31	7938.33	1.58114	7938.52	1.80555	7938.08	1.60528	7938.56	1.75784	7939.51	2.0107
1512463919113	23.32	7937.56	1.87824	7938.12	1.76352	7937.54	1.76141	7938.28	1.83757	7938.95	1.95187
1512463920228	23.32	7937.44	1.5899	7937.48	2.2383	7937.08	1.75412	7937.4	2.32737	7937.77	1.98427
1512463921278	23.3	7936.33	1.93649	7936.12	1.9	7936	1.87083	7935.96	1.96808	7937.09	2.00715
1512463922307	23.3	7936.44	1.5899	7936.6	1.89297	7935.85	1.72463	7936.24	1.98494	7937.3	1.98244
1512463923362	23.3	7937	1.41421	7937.96	2.24499	7936.85	1.3445	7937.28	2.55799	7937.69	2.21894
1512463924378	23.3	7936.56	1.66667	7937.52	1.71075	7936.62	1.44559	7936.92	1.97737	7937.5	1.86001
1512463925404	23.29	7933.22	1.98606	7933.84	1.99332	7933.38	1.66024	7933.6	2	7934.7	1.92918
1512463926411	23.29	7934	2.34521	7934.32	1.77294	7934	2.04124	7934	1.89297	7934.69	1.71899
1512463927434	23.29	7932.56	2.4037	7932.76	1.64012	7932.38	2.02231	7932.4	1.82574	7933.55	1.88149
1512463928481	23.28	7932.11	1.53659	7931.96	1.45717	7931.77	1.5359	7931.64	1.75309	7932.98	2.10029
1512463929484	23.28	7931	1.87083	7931.8	1.63299	7930.92	1.70595	7931.24	1.83212	7932.85	2.06993
1512463930551	23.28	7930.22	1.7873	7930.84	1.62481	7930.23	1.58923	7930.24	1.98494	7931.64	2.0034
1512463931641	23.27	7930.22	2.10819	7930.72	1.96893	7930.38	2.25605	7930.36	1.91224	7931.53	2.05146
1512463932713	23.27	7929.67	1.73205	7930.2	1.84842	7929.62	1.85016	7929.76	2.02649	7931.04	2.0294
1512463933738	23.26	7930	1.87083	7930.72	1.79165	7930.31	1.93152	7930.16	2.13464	7930.79	2.00038
1512463934831	23.26	7930.22	2.72845	7930.44	1.93821	7930.15	2.54448	7930.08	2.27156	7930.83	2.06747
1512463935874	23.26	7930.56	2.06828	7930.68	1.81934	7930.31	2.01596	7930.2	2.14087	7931.4	2.05178
1512463936891	23.25	7930.67	1.41421	7930.8	1.38444	7930.54	1.39137	7930.4	1.75594	7931.7	1.90963
1512463937892	23.23	7930.33	1.58114	7930.48	1.22882	7930.31	1.31559	7930.12	1.53623	7931.46	2.01293
1512463938944	23.21	7932.56	1.81046	7933.48	2.0232	7932.77	1.96443	7933.2	1.68325	7934.24	1.93858
1512463939960	23.21	7932.56	1.23603	7933.04	1.48549	7932.69	1.49358	7932.56	1.60935	7933.52	1.87103
1512463940985	23.21	7932.11	1.2693	7933.2	1.73205	7932.54	1.89804	7932.92	1.77764	7933.68	1.89033
1512463942058	23.2	7930.78	1.48137	7931.2	1.52753	7930.62	1.66024	7930.72	1.51438	7932.1	1.73675
1512463943085	23.2	7931.11	1.90029	7931.48	2.18174	7931	2.58199	7930.96	2.20756	7932.08	1.89549
1512463944092	23.19	7932.44	1.94365	7932.32	1.4922	7932.23	1.69085	7932.12	1.66633	7933.53	1.92033
1512463945097	23.19	7933.78	1.92209	7933.48	1.63605	7933.31	1.93152	7933.16	1.86369	7933.56	1.71021
1512463946099	23.19	7932.67	2.17945	7932.92	1.97737	7932.38	2.10311	7932.76	2.10713	7933.06	1.867
1512463947123	23.18	7930.56	1.33333	7931	1.58114	7930.31	1.49358	7930.72	1.72047	7931.2	1.86402
1512463948149	23.17	7932	2.54951	7931.64	1.7767	7931.69	2.32324	7931.24	2.22261	7932.11	2.12315
1512463949191	23.18	7931.44	2.29734	7931.48	2.12368	7931.15	2.1543	7931.12	2.10792	7931.84	1.90577
1512463950216	23.17	7930.33	1.5	7930.76	1.47986	7930.23	1.42325	7930.36	1.62993	7931.64	2.04421
1512463951340	23.16	7931	2.5	7931.2	1.97906	7930.85	2.1543	7930.76	2.22261	7931.36	1.93731
1512463952382	23.16	7929.67	1.80278	7930.4	1.5	7929.92	1.65638	7930.04	1.56738	7930.62	1.9333
