Timetstamp	FPA	C9	Sigma	C25	Sigma	D13	Sigma	D25	Sigma	R8	Sigma
1512470655086	21.51	7903.67	1.22474	7903.8	1.32288	7903.69	1.1094	7903.52	1.04563	7904.57	1.94093
1512470656171	21.52	7939	1.11803	7938.76	1.42244	7938.85	1.14354	7938.76	1.50776	7938.83	1.66044
1512470657267	21.52	7944.89	2.31541	7944.76	1.53514	7944.69	1.97419	7944.24	2.00582	7944.26	1.93252
1512470658293	21.52	7949	2.17945	7948.84	1.59896	7948.85	1.90815	7948.8	1.87083	7949.07	1.97772
1512470659319	21.51	7957.11	1.76383	7956.56	2.02237	7957	1.47196	7956.68	2.11581	7956.15	2.38991
1512470660442	21.51	7960	1.32288	7959.92	1.44106	7960.15	1.40512	7959.88	1.48099	7959.34	1.77868
1512470661532	21.52	7967.22	1.48137	7966.2	1.73205	7967.23	1.30089	7966.32	1.70098	7965.49	2.20584
1512470662624	21.53	7967.67	1.58114	7967.52	1.47535	7967.54	1.45002	7967.32	1.54704	7967.89	2.04569
1512470663638	21.53	7971.78	1.48137	7972.16	1.67531	7972.15	1.51911	7972	1.52753	7972.1	2.44516
1512470664789	21.53	7972.78	1.64148	7973.08	1.49778	7972.77	1.36344	7972.72	1.45831	7973.38	2.0481
1512470665826	21.55	7976.67	2.5	7977.28	2.15097	7976.69	2.13638	7976.84	2.35726	7976.56	2.03558
1512470666938	21.56	7979.11	2.14735	7978.56	1.73397	7979.23	1.7867	7978.56	1.91659	7978.06	1.88919
1512470667990	21.56	7982.33	1.93649	7981.64	1.8	7982.23	1.83275	7981.24	2.14631	7980.13	2.0663
1512470669035	21.57	7981.11	1.69148	7980.32	1.43527	7980.92	1.49786	7980.32	1.4922	7980.15	1.71185
1512470670145	21.57	7981.67	2.23607	7981.24	1.76257	7981.92	1.97744	7981.16	1.79536	7981.06	1.88367
1512470671170	21.58	7982.89	1.90029	7982.28	1.96893	7982.77	1.69085	7982.12	2.00666	7982.02	2.11876
1512470672196	21.57	7981.67	2.17945	7981.44	1.68523	7981.62	1.85016	7981.2	1.77951	7981.39	1.8845
1512470673271	21.57	7980.56	2.12786	7980.6	1.65831	7980.69	1.88788	7980.36	1.8	7980.86	1.78714
1512470674361	21.57	7982.33	2.06155	7982.6	1.55456	7982.31	1.75046	7982.28	1.74452	7982.75	2.22036
1512470675387	21.58	7979.67	1.41421	7979.6	1.29099	7979.62	1.3253	7979.64	1.25433	7980.22	2.24172
1512470676443	21.58	7979.89	1.96497	7979.04	1.85921	7979.46	2.18386	7978.84	1.99332	7979	2.03869
1512470677460	21.57	7979.89	2.26078	7979.12	1.71561	7979.62	2.02231	7979	1.82574	7979.67	2.0621
1512470678464	21.57	7981	2.64575	7980.52	2.0232	7981	2.34521	7980.44	2.04287	7980.48	1.96605
1512470679478	21.58	7980	3.04138	7979.56	2.12289	7980	2.51661	7979.44	2.34663	7979.25	1.84569
1512470680528	21.58	7978.44	2.35112	7978.44	1.70978	7978.23	2.04751	7978.36	2.03879	7978.82	2.05144
1512470681572	21.57	7977	2.59808	7977.2	1.95789	7977.15	2.30384	7977.36	1.95533	7977.99	2.13841
1512470682598	21.58	7977.33	1.87083	7977.48	1.63605	7977.46	1.89804	7977.28	1.76824	7978.36	2.034
1512470683700	21.57	7977.78	1.92209	7977.24	1.53514	7977.46	1.76141	7977.12	1.73973	7977.3	1.93994
1512470684782	21.57	7976.89	2.08833	7976.64	1.823	7976.77	1.83275	7976.56	2.06317	7976.81	1.96042
1512470685789	21.57	7977.89	2.26078	7976.72	2.31876	7977.46	2.69615	7976.64	2.39583	7976.93	1.92317
1512470686881	21.57	7978.22	2.22361	7977.4	2.17945	7977.77	2.31495	7977.2	2.36291	7977.26	2.10595
1512470688033	21.56	7974.56	3.04594	7974.2	2.46644	7974.31	2.65784	7973.84	2.35726	7974.96	2.38885
1512470689111	21.55	7977	2.39792	7976.84	1.772	7977.08	2.10006	7976.6	1.87083	7976.62	1.93868
1512470690121	21.55	7974.44	2.4037	7974.68	1.7253	7974.38	2.02231	7974.44	1.70978	7975.25	2.02595
1512470691228	21.54	7974.67	2	7974.76	1.45144	7974.77	1.73944	7974.48	1.47535	7975.28	1.94841
1512470692351	21.54	7974.33	2.17945	7974.28	1.54164	7974.15	1.81871	7974	1.70783	7974.63	2.01412
1512470693393	21.54	7973.33	2.34521	7972.92	1.63095	7972.92	2.10006	7972.68	1.8421	7973.28	1.99072
1512470694403	21.54	7972.22	1.92209	7971.68	1.54704	7971.92	1.801	7971.48	1.93907	7972.07	2.12883
1512470695421	21.54	7972.33	2	7971.72	1.54164	7971.92	1.801	7971.6	1.80278	7971.61	1.93898
1512470696454	21.53	7971.11	1.76383	7970.72	1.33915	7970.69	1.6525	7970.48	1.68622	7970.9	1.96841
1512470697480	21.53	7971.11	1.61589	7970.48	1.26227	7970.69	1.54837	7970.24	1.71464	7970.6	1.91795
1512470698521	21.52	7969.67	2.06155	7969.28	1.54164	7969.15	1.90815	7968.96	2.0306	7969.69	2.02503
1512470699547	21.51	7968.78	2.22361	7968.76	1.78606	7968.38	2.02231	7968.72	2.13151	7969.34	1.99404
1512470700573	21.51	7969	2.39792	7968.84	1.92959	7968.46	2.22169	7968.64	2.2151	7969.55	1.98403
1512470701608	21.52	7968.22	2.48886	7968	2.06155	7967.69	2.35884	7968	2.23607	7968.45	1.99711
1512470702636	21.51	7968	1.80278	7967.36	1.75309	7967.54	1.76141	7967.2	1.91485	7967.22	2.09342
1512470703662	21.5	7966.22	1.30171	7966	1.60728	7966.23	1.5359	7965.72	1.83757	7966.76	1.98829
1512470704707	21.5	7967.22	1.39443	7966.48	1.41774	7967.08	1.44115	7966.52	1.41774	7967.58	2.37939
1512470705733	21.5	7966.89	1.90029	7966.36	1.49666	7966.54	1.6641	7966.04	1.74356	7966.51	1.88776
1512470706834	21.5	7964.78	2.04803	7964.44	1.58325	7964.69	1.75046	7964.12	1.9	7964.84	1.98607
