Timetstamp	FPA	C9	Sigma	C25	Sigma	D13	Sigma	D25	Sigma	R8	Sigma
1512461602276	21.66	7926.22	1.85592	7926.52	1.89561	7926.54	2.18386	7926.36	1.97653	7926.95	2.18122
1512461603846	21.78	7922.11	2.57121	7921.84	2.0347	7921.77	2.20431	7921.48	2.27523	7921.32	2.32747
1512461604872	21.79	7917.78	1.39443	7917.68	1.4922	7917.62	1.38675	7917.4	1.60728	7916.6	1.95852
1512461605897	21.79	7918	1.58114	7918.12	1.42361	7917.77	1.48064	7917.96	1.3687	7918.5	2.12408
1512461606914	21.79	7922.33	1.58114	7922.6	1.73205	7922.31	1.6525	7922.36	1.52425	7922.77	2.16808
1512461608016	21.79	7926.67	1.11803	7927.32	1.40594	7926.92	1.18754	7927.16	1.40475	7927.86	2.26295
1512461609078	21.79	7934.78	0.971825	7934.2	1.55456	7934.23	1.23517	7934.16	1.40475	7934.12	2.05271
1512461610089	21.79	7940	1.41421	7939.88	2.00666	7939.77	1.64083	7940	2.10159	7939.5	2.07195
1512461611130	21.81	7945	2.23607	7944.24	1.85472	7944.46	2.10616	7944.2	1.82574	7944.16	2.04636
1512461612155	21.82	7945.22	1.64148	7944.6	1.70783	7945	1.63299	7944.68	1.57374	7944.99	1.91754
1512461613165	21.83	7949	1.41421	7949.24	2.00582	7949.15	1.3445	7949.28	1.83757	7949.3	2.43303
1512461614214	21.83	7950.89	2.26078	7950.84	1.86369	7950.77	2.08782	7950.56	1.95959	7950.04	2.19809
1512461615233	21.83	7950.44	2.24227	7950.56	1.95959	7950.62	2.06311	7950.44	1.91659	7950.47	1.83999
1512461616270	21.83	7952.67	2	7953	2.10159	7952.77	2.20431	7952.72	1.98997	7952.41	1.98541
1512461617382	21.87	7952.56	2.60342	7952.96	2.4235	7952.46	2.40192	7952.32	2.09603	7952.7	2.12643
1512461618423	21.86	7951.56	2.35112	7951.2	1.87083	7951.31	2.13638	7950.8	1.87083	7951.25	2.21273
1512461619428	21.86	7950.44	2.00693	7950.4	1.82574	7950.08	1.93484	7950.2	1.73205	7951.04	2.0851
