Timetstamp	FPA	C9	Sigma	C25	Sigma	D13	Sigma	D25	Sigma	R8	Sigma
1512561084488	22.95	7887.22	1.48137	7887.44	1.50222	7887.62	1.38675	7887.44	1.55671	7888.15	2.66921
1512561085513	23.02	7884.56	1.94365	7884.08	2.03961	7884.69	1.75046	7884.4	1.95789	7884.41	2.59874
1512561086563	23.09	7877.11	2.97676	7877.6	2.69258	7877.69	2.81024	7877.36	2.87054	7877.92	2.96668
1512561087589	23.16	7874.67	2.06155	7874.84	2.11503	7875.31	2.13638	7874.4	2.14087	7874.03	2.62977
1512561088593	23.23	7871.78	2.3863	7871.92	2.30796	7872.31	2.32324	7871.6	2.34521	7870.82	2.52761
1512561089677	23.29	7864.44	1.94365	7864.6	2.23607	7864.38	2.02231	7864.12	2.24202	7864.18	2.9244
1512561090753	23.34	7861.22	1.85592	7861.96	1.90351	7861.54	1.6641	7861.56	1.78139	7861.87	2.62377
1512561091833	23.41	7855.67	2.17945	7856.04	2.07123	7856.08	2.01914	7855.68	2.05589	7855.92	2.83456
1512561092943	23.47	7850.78	2.94863	7851.24	2.71232	7851.23	2.94827	7851.12	2.71293	7851.22	2.76833
1512561094071	23.51	7847.89	2.02759	7847.8	2.38048	7848.23	2.12736	7847.64	2.25241	7847.28	2.97112
1512561095102	23.55	7843.67	2.91548	7843.64	2.69072	7843.85	2.73393	7843.32	2.77969	7843.23	3.13413
1512561096128	23.6	7840.11	3.01846	7840.64	2.85599	7840.85	3.07804	7840.32	2.86822	7839.97	3.134
1512561097153	23.64	7836.11	2.61937	7836.6	2.73861	7836.77	2.71274	7836.2	2.79881	7836.02	3.1049
1512561098179	23.68	7833.22	2.33333	7833.24	2.45425	7833.62	2.53438	7832.84	2.49466	7832.2	2.77687
1512561099205	23.73	7829.78	2.77389	7829.56	2.43379	7830.15	2.37508	7829.44	2.43379	7828.79	2.77799
1512561100253	23.75	7828.56	2.87711	7828.32	2.46171	7829	2.48328	7828.32	2.39305	7827.53	2.84504
1512561101288	23.78	7824.22	2.53859	7824.44	2.755	7824.92	2.4311	7824.32	2.56125	7824.02	2.73571
1512561102329	23.83	7820.44	2.4037	7820.8	2.43242	7821.15	2.57702	7820.76	2.50466	7820.45	3.04975
1512561103353	23.85	7817.56	2.35112	7817.8	2.67706	7818	2.51661	7817.6	2.64575	7817.01	2.94036
1512561104489	23.88	7813.44	2.55495	7813.76	2.53772	7814.08	2.53185	7813.52	2.5186	7813.8	2.74348
1512561105587	23.92	7810.89	2.26078	7811.6	2.46644	7811.85	2.57702	7811.24	2.42006	7811.44	3.05127
1512561106660	23.95	7808.56	2.00693	7809.24	2.25979	7809.31	2.17503	7808.84	2.39235	7809.26	2.98217
1512561107669	23.98	7805.78	2.22361	7806.24	2.90517	7806.38	2.50128	7806	2.95804	7805.41	3.03681
1512561108701	24	7804.33	2.12132	7804.36	2.46441	7804.62	2.02231	7804.16	2.4097	7803.11	3.09798
1512561109803	24.02	7803.11	2.08833	7802.84	2.17332	7803.54	2.10616	7802.88	2.06801	7801.9	2.74159
1512561110813	24.06	7798.78	2.43812	7798.96	2.7	7799.46	2.3315	7798.88	2.4379	7798.11	2.94632
1512561111838	24.08	7796.22	2.10819	7797.12	2.57099	7797.23	2.5217	7796.84	2.4779	7796.63	3.28756
1512561112890	24.11	7793.11	2.08833	7794	2.34521	7793.85	2.37508	7793.72	2.22711	7793.64	3.06554
1512561113955	24.12	7791.89	1.2693	7792.4	2.44949	7792.85	2.0755	7792.2	2.21736	7791.17	2.98028
1512561115002	24.14	7790.67	1.58114	7791.08	2.59679	7791.54	2.06621	7790.84	2.30362	7790.34	2.95225
1512561116080	24.18	7788.44	2.00693	7788.6	2.04124	7788.85	1.77229	7788.4	1.87083	7787.89	2.84011
1512561117108	24.2	7786.22	2.27913	7786.24	2.29637	7786.54	2.02548	7785.92	2.25315	7785.53	3.11423
1512561118131	24.22	7783.22	2.99073	7783.24	2.86182	7783.77	2.91987	7783.04	2.79106	7782.88	3.15425
1512561119147	24.23	7780.78	2.22361	7781.16	2.15407	7781.46	2.25889	7781	2.14087	7780.34	3.26528
1512561120195	24.25	7781.11	2.52212	7780.76	2.52124	7781.62	2.46774	7780.72	2.50865	7780.16	3.0647
1512561121221	24.27	7777.44	2.651	7777.12	2.96254	7777.85	2.70327	7776.96	2.96479	7776.54	3.23544
