Timetstamp	FPA	C9	Sigma	C25	Sigma	D13	Sigma	D25	Sigma	R8	Sigma
1512558150190	27.87	7902.11	2.47207	7901.84	2.2301	7901.69	2.59437	7901.52	2.06398	7901.46	2.10154
1512558151222	27.87	7900.78	1.92209	7900.92	1.93477	7900.85	2.1543	7900.6	1.77951	7900.54	2.20779
1512558152311	27.88	7900.33	1.87083	7900.64	1.93391	7900.46	1.8081	7900.44	1.78139	7900.36	2.25732
1512558153346	27.86	7899.44	1.81046	7899.4	1.55456	7899.54	1.71345	7899.32	1.40594	7899.07	2.07036
1512558154472	27.87	7901.22	1.39443	7901	1.22474	7901.08	1.18754	7900.84	1.34412	7901.19	2.14562
1512558155477	27.87	7900.67	1.32288	7900.6	1.38444	7900.62	1.44559	7900.48	1.29486	7900.96	2.10118
1512558156528	27.86	7900.33	2.39792	7900.68	1.97315	7900.38	2.46774	7900.44	1.87261	7900.73	2.10652
1512558157554	27.85	7901.11	2.52212	7901.2	2.19848	7900.77	2.71274	7900.92	2.13931	7900.97	2.46313
1512558158579	27.87	7901.22	2.22361	7901.08	1.99833	7900.85	2.19265	7900.68	1.95192	7900.84	2.28142
1512558159605	27.87	7899.67	1.87083	7899.96	1.74356	7899.77	2.04751	7899.84	1.62481	7900.14	2.15448
1512558160641	27.87	7900.44	1.23603	7900.4	1.87083	7900.46	1.39137	7900.32	1.46401	7900.91	2.07352
1512558161665	27.86	7900.67	1.41421	7900.68	1.62583	7900.92	1.49786	7900.56	1.50222	7900.63	2.14194
1512558162714	27.87	7900.89	2.02759	7901.92	2.44813	7901.46	2.14536	7901.64	2.32522	7901.93	2.45054
1512558163739	27.86	7900.11	1.2693	7900.56	1.70978	7900.31	1.70219	7900.32	1.62583	7901.26	2.2656
1512558164831	27.87	7899	1.58114	7899.92	1.93477	7899.46	2.10616	7899.68	1.81934	7900.62	2.34008
1512558165857	27.86	7899	1.11803	7899.12	1.26886	7899	1.22474	7899.2	1.11803	7899.64	2.1706
1512558166909	27.86	7899	1.87083	7898.96	1.88149	7899.08	2.10006	7898.84	1.74833	7899.61	2.31624
1512558168036	27.86	7900.22	3.19287	7899.36	2.81188	7899.85	2.96778	7899.68	2.65707	7899.56	2.56536
1512558169047	27.86	7900	2.39792	7899.48	2.21961	7899.69	2.28709	7899.56	1.95959	7899.55	2.31804
1512558170089	27.87	7898.67	1.65831	7899.04	1.56738	7898.92	1.84669	7898.92	1.49778	7899.09	2.33129
1512558171115	27.87	7899.33	2.29129	7899.88	2.38607	7899.85	2.70327	7899.84	2.15407	7900.28	2.81818
1512558172189	27.87	7898.78	1.71594	7899.2	1.89297	7899.15	2.11527	7899	1.68325	7899.11	2.26006
1512558173264	27.86	7898.22	1.48137	7898.72	1.74452	7898.54	1.6641	7898.24	1.50776	7898.78	2.26088
1512558174371	27.87	7897.22	1.7873	7897.76	2.10713	7897.31	2.25036	7897.2	1.93649	7897.5	2.27332
1512558175430	27.87	7896.33	1.65831	7897.08	1.70587	7896.62	1.80455	7896.8	1.5	7897.44	2.44477
1512558176471	27.87	7898.22	2.10819	7898.44	2.02237	7898.15	2.03495	7898.04	1.90351	7898.35	2.08634
1512558177481	27.87	7897.11	2.08833	7897.48	2.20076	7897.23	2.16617	7897.2	1.87083	7897.9	2.26284
1512558178567	27.87	7897.67	2.44949	7897.8	1.80278	7897.54	2.10616	7897.4	1.89297	7897.76	2.27481
1512558179646	27.87	7896.89	2.26078	7897.16	1.62481	7897	1.95789	7896.76	1.71464	7897.32	2.00743
1512558180688	27.87	7897.44	1.66667	7897.32	2.01494	7897.62	2.02231	7897.4	1.93649	7897.41	2.16346
1512558181723	27.87	7895.89	1.96497	7896.04	1.88149	7896	2.3094	7896.04	1.92527	7895.99	2.12129
1512558182725	27.87	7894.78	1.98606	7895	2.04124	7894.92	2.21591	7894.92	1.97737	7894.93	2.23621
1512558183765	27.87	7896.11	1.90029	7896.2	2.10159	7896.31	2.01596	7896.04	1.85921	7895.41	2.24845
1512558184775	27.9	7895.89	1.45297	7896.6	1.82574	7896.31	1.60128	7896.32	1.43527	7895.72	2.2137
1512558185800	27.88	7893.33	1.73205	7893.96	1.92527	7893.77	1.7867	7893.8	1.68325	7894.29	2.21941
1512558186953	27.88	7895	2.12132	7895.2	1.89297	7895	2.04124	7894.96	1.90351	7894.51	2.41977
1512558188093	27.87	7895.33	1.87083	7894.36	1.8	7895.08	1.70595	7894.28	1.76824	7893.96	2.20283
1512558189107	27.87	7893.89	2.47207	7894	2.3094	7894	2.3094	7893.88	2.22336	7893.69	2.46364
1512558190131	27.87	7893.22	2.48886	7892.96	2.4235	7893.23	2.20431	7893.04	2.13073	7893.41	2.48188
1512558191295	27.87	7893.44	2.18581	7894.6	2.72336	7894.08	2.53185	7894.44	2.48462	7894.4	2.36784
1512558192297	27.88	7893.78	1.71594	7894.72	2.13151	7894.15	1.90815	7894.44	1.98074	7894.53	2.36735
1512558193352	27.88	7894.22	1.7873	7894.52	2.10396	7894.77	2.0064	7894.4	1.91485	7894.85	2.229
1512558194371	27.88	7894.89	2.20479	7894.92	2.41385	7895.31	2.42846	7894.96	2.31805	7894.36	2.26914
1512558195389	27.91	7892.67	1.93649	7892.92	2.05994	7892.92	1.89128	7892.76	1.85472	7892.68	2.22215
1512558196414	27.9	7893	2.23607	7892.48	2.20076	7893	2.12132	7892.48	2.10396	7892.05	2.21569
1512558197440	27.91	7893.89	1.96497	7893.88	2.3331	7893.85	2.47811	7893.8	2.14087	7893.69	2.30145
1512558198466	27.92	7894.56	2.35112	7894.28	2.26421	7894.46	2.43637	7894.2	2.19848	7893.82	2.03185
1512558199833	27.93	7892.11	2.08833	7892.48	2.21961	7892.23	2.24179	7892.32	1.8868	7892.73	2.22959
1512558200908	27.93	7891.56	2.18581	7891.44	2.00167	7891.46	2.10616	7891.32	1.79629	7891.06	2.20838
1512558201998	27.93	7891.89	2.02759	7891.8	2.12132	7891.85	1.99358	7891.64	1.89033	7891.23	2.24131
1512558203071	27.94	7893.89	1.90029	7893.4	2.17945	7893.62	1.98068	7893.24	1.80924	7892.73	2.35627
1512558204099	27.95	7892.33	1.5	7892.12	1.85562	7892.23	1.36344	7891.88	1.53623	7891.73	2.23139
1512558205108	27.96	7891.22	1.48137	7891.04	1.3687	7891.15	1.46322	7890.64	1.75309	7890.35	2.19379
1512558206202	27.97	7889.89	2.02759	7890	1.80278	7889.77	1.96443	7889.52	1.93907	7889.38	2.22602
1512558207351	27.98	7888.11	1.16667	7888.16	1.57268	7888.15	1.40512	7887.88	1.56312	7888.09	2.18461
1512558208369	27.99	7888.56	1.23603	7888.88	1.76352	7888.62	1.50214	7888.56	1.60935	7888.03	2.31038
1512558209392	27.99	7886.11	1.53659	7886.56	1.95959	7886.31	1.70219	7886.4	1.84842	7886.38	2.68036
1512558210432	28.02	7885.89	1.76383	7886.24	1.73877	7886.08	1.801	7886.12	1.56312	7885.87	2.33604
1512558211594	28.04	7884.44	1.424	7884.52	1.96044	7884.54	1.85362	7884.32	1.62583	7885.05	2.57045
1512558212597	28.05	7883.56	1.23603	7883.44	1.98074	7883.62	1.75777	7883.24	1.78606	7882.87	2.42437
1512558213606	28.05	7883.78	2.16667	7883.04	2.3	7883.46	2.14536	7882.64	2.15793	7882.1	2.54658
1512558214639	28.06	7882.56	1.74005	7881.72	2.37206	7882.23	1.83275	7881.52	2.18174	7881.43	2.62133
1512558215674	28.07	7882.44	1.33333	7881.28	2.03142	7882	1.41421	7881.24	1.87705	7881.39	2.29591
1512558216700	28.07	7880.78	1.56347	7879.8	1.87083	7880.38	1.50214	7880.04	1.96808	7880.52	2.41974
1512558217762	28.09	7881.67	1.80278	7880.96	1.96808	7881.23	1.96443	7881	1.77951	7880.89	2.48484
1512558218868	28.09	7878.44	2.29734	7879.16	2.68763	7878.62	2.29269	7878.92	2.39653	7879.92	2.43955
1512558219902	28.11	7880.56	1.94365	7880.52	1.78232	7880.46	1.89804	7880.32	1.79629	7879.98	2.18651
1512558220924	28.13	7879	1.65831	7878.72	1.6207	7878.85	1.67562	7878.48	1.66132	7878.36	2.30074
1512558221940	28.15	7879.11	1.36423	7878.8	1.5	7878.92	1.32045	7878.8	1.47196	7878.65	2.38708
1512558222988	28.15	7876.67	1.93649	7876.64	1.72916	7876.62	1.80455	7876.48	1.50333	7876.77	2.45158
1512558224027	28.16	7876.56	2.00693	7876.16	1.772	7876.23	2.08782	7876	1.70783	7876.11	2.25865
1512558225134	28.17	7876.33	2.39792	7876.24	1.89912	7876.38	2.2188	7876.24	1.80924	7876.63	2.45283
1512558226168	28.19	7875.67	2.17945	7875.76	2.0672	7875.77	2.38586	7875.56	1.91659	7875.66	2.37547
1512558227277	28.21	7874	1.87083	7873.88	1.71561	7874.15	1.95133	7873.6	1.73205	7873.46	2.4451
1512558228312	28.21	7873.67	2.23607	7873.08	2.11975	7873.46	2.3315	7872.92	1.99833	7872.88	2.37063
