Timetstamp	FPA	C9	Sigma	C25	Sigma	D13	Sigma	D25	Sigma	R8	Sigma
1512479540117	25.49	7846	1.87083	7845.56	1.58325	7845.85	1.67562	7845.56	1.58325	7845.56	2.05579
1512479541518	25.62	7846	1.87083	7845.56	1.58325	7845.85	1.67562	7845.56	1.58325	7845.56	2.05579
1512479542544	25.64	7829.89	1.05409	7829.04	1.67033	7829.69	1.4367	7829.04	1.74356	7828.75	2.09173
1512479543616	25.63	7833.22	1.20185	7832.8	1.60728	7833	1.58114	7832.72	1.56844	7833.24	2.29078
1512479544641	25.63	7840.78	2.22361	7839.68	2.46171	7840.54	2.50384	7839.88	2.45493	7839.59	1.95635
1512479545670	25.64	7847.11	1.69148	7845.44	2.31084	7846.77	1.58923	7845.4	2.27303	7844.97	2.24637
1512479546681	25.64	7850	1.5	7849.6	1.93649	7850.08	1.5525	7849.36	1.9975	7848.88	1.93786
1512479547737	25.66	7851.44	1.81046	7852	1.68325	7851.69	1.75046	7851.8	1.55456	7852.19	2.02495
1512479548796	25.68	7857.22	1.56347	7857.04	1.67033	7857.31	1.75046	7856.92	1.70587	7856.77	2.02326
1512479549838	25.68	7861	1.22474	7860.76	1.85472	7860.85	1.46322	7860.36	1.93391	7859.85	2.04206
1512479550864	25.7	7861.78	1.85592	7861.2	1.63299	7861.62	1.55662	7861.08	1.6563	7861.34	1.82447
1512479551889	25.71	7862.33	2.44949	7862.36	2.23383	7862.38	2.02231	7862.12	2.06801	7862.64	2.1706
1512479552901	25.72	7863.67	1.5	7863.36	1.68028	7863.62	1.50214	7863.08	1.68127	7863.4	1.87678
1512479553950	25.71	7864.78	0.833333	7864.6	1.32288	7864.77	0.83205	7864.44	1.32539	7864.9	1.99887
1512479554966	25.74	7866.67	1	7865.08	1.89121	7866	1.41421	7865.16	1.8412	7864.93	1.86263
1512479556016	25.74	7867.33	1.73205	7865.96	1.81384	7866.69	1.75046	7865.96	1.81384	7866.15	1.96842
1512479557053	25.75	7867.11	0.781736	7866.84	1.28062	7867.08	0.954074	7866.68	1.31403	7866.82	1.99041
1512479558153	25.74	7866.67	1.58114	7866.52	1.61038	7866.46	1.56074	7866.36	1.46856	7866.51	1.96882
1512479559204	25.75	7867.33	2.29129	7866.64	2.07926	7866.77	2.08782	7866.4	2.04124	7866.57	1.90573
1512479560241	25.76	7866.11	1.90029	7865.44	1.60935	7865.69	1.79743	7865.44	1.70978	7865.23	1.87635
1512479561397	25.76	7865.44	1.5899	7865.08	1.41185	7865.08	1.60528	7864.56	1.73397	7864.22	1.88666
1512479562404	25.76	7862.56	1.87824	7861.68	1.62583	7862.38	1.60927	7861.64	1.70489	7861.84	1.85312
1512479563429	25.75	7862.22	1.64148	7861.84	1.86369	7862.23	2.12736	7861.8	1.87083	7861.74	2.08856
1512479564434	25.75	7861.11	1.2693	7860.8	1.47196	7861	1.52753	7860.56	1.52971	7860.9	1.95513
1512479565480	25.76	7859.67	0.707107	7859.4	1.08012	7859.54	0.877058	7859.04	1.05987	7859.75	1.79708
1512479566486	25.75	7859.33	1.22474	7858.56	1.60935	7859.23	1.23517	7858.72	1.54164	7858.84	1.86528
1512479567512	25.76	7856.56	1.01379	7856.2	1.68325	7856.62	1.19293	7856.2	1.70783	7856.59	1.82694
1512479568562	25.76	7857.78	1.20185	7856.64	1.86815	7857.23	1.92154	7856.72	1.74452	7856.63	1.81556
1512479569651	25.76	7855.78	1.56347	7855.16	1.72434	7855.69	1.75046	7854.96	1.7195	7855.47	1.86817
1512479570677	25.75	7854.78	1.39443	7854.44	1.47422	7854.85	1.3445	7854.12	1.42361	7854.45	1.92256

1512479571739	25.75	7853.89	1.69148	7853.48	1.73494	7854	1.52753	7853.12	1.83303	7852.96	1.86479
1512479573324	25.85	7832.78	2.16667	7832.6	1.89297	7832.77	2.08782	7832.84	1.92959	7832.66	2.06588
1512479574350	25.85	7826.67	2	7826.76	1.69017	7827	1.87083	7827	1.55456	7826.46	1.91752
1512479575416	25.84	7828.22	1.98606	7828	1.77951	7828.23	1.92154	7828.16	1.90788	7827.68	1.99703
1512479576429	25.84	7833.11	1.76383	7833.56	1.44568	7833.54	1.71345	7833.6	1.44338	7833.66	2.11077
1512479577531	25.84	7836	1.80278	7836.32	1.79629	7836.38	1.66024	7836.6	1.87083	7836.25	2.08986
1512479578556	25.84	7839.67	1.22474	7839.08	1.55242	7839.38	1.3253	7839.4	1.44338	7839.26	1.92441
1512479579582	25.85	7843.11	2.02759	7842.92	2.03961	7842.85	2.03495	7842.56	2.14243	7843.18	2.2669
1512479580628	25.84	7842.56	1.87824	7842.84	1.86369	7842.62	1.93815	7842.72	1.94765	7843.32	2.24546
1512479581633	25.84	7848.78	1.30171	7848.12	1.50886	7848.69	1.37747	7848.04	1.69509	7847.1	1.9647
1512479582705	25.86	7851.56	1.94365	7850.8	1.91485	7850.92	1.93484	7850.84	2.07525	7850.12	2.21385
1512479583729	25.86	7852.22	1.7873	7851.72	1.51438	7852	1.63299	7851.72	1.64621	7851.34	1.95447
1512479584824	25.85	7853.22	1.56347	7853.12	1.42361	7853.15	1.3445	7853.32	1.54704	7853.03	2.02185
1512479585850	25.85	7854.22	1.20185	7853.28	1.45831	7853.77	1.42325	7853.36	1.72916	7853.4	1.99254
1512479586876	25.85	7853.89	1.05409	7853.56	1.66032	7853.85	1.3445	7853.36	1.93391	7853.5	2.04411
1512479587947	25.85	7854.89	1.05409	7854.32	1.43527	7854.77	0.926809	7854.28	1.42945	7853.69	1.89207
1512479589041	25.85	7854.56	1.23603	7854.2	1.60728	7854.15	1.21423	7854.2	1.73205	7854.02	2.07785
1512479590113	25.84	7854	1	7853.36	1.52425	7853.69	1.03155	7853.56	1.29357	7853.36	2.00303
1512479591141	25.85	7854.89	0.927961	7854.08	1.6563	7854.77	1.23517	7854.16	1.54596	7853.6	1.95027
1512479592216	25.84	7852.67	0.707107	7852.6	1.5	7852.77	0.926809	7852.76	1.87705	7853.01	2.11884
1512479593248	25.85	7853.67	1	7852.72	1.54164	7853.23	1.64083	7852.84	1.51877	7852.19	1.96491
1512479594295	25.84	7852.11	1.2693	7851.64	1.62993	7852.08	1.49786	7851.68	1.67631	7850.98	2.03735
1512479595340	25.83	7850.11	1.53659	7849.8	1.38444	7849.77	1.42325	7849.72	1.69607	7849.66	2.06548
1512479596344	25.84	7850.22	1.20185	7849.12	1.96469	7849.69	1.4367	7849	1.84842	7849.17	2.05484
1512479597422	25.84	7848.89	1.53659	7847.84	1.8412	7848.54	1.5064	7848.04	1.61967	7847.75	1.88202
1512479598549	25.83	7847.11	1.36423	7846.4	1.60728	7847.15	1.21423	7846.48	1.50333	7845.75	1.80069
1512479599623	25.81	7846.22	1.48137	7845.52	1.55778	7846.15	1.28103	7845.68	1.37598	7844.59	1.81837
1512479600673	25.82	7845.22	2.10819	7844.76	1.56205	7845.08	1.801	7844.8	1.68325	7844.6	2.1917
1512479601690	25.81	7843.33	1.87083	7843	1.52753	7843.38	1.55662	7843.08	1.57903	7843.34	2.01224
1512479602716	25.82	7841.67	2	7842.2	1.58114	7842.08	1.801	7842.28	1.6207	7842.73	1.92027

1512479603740	25.81	7839.89	1.45297	7840.48	1.5308	7840.46	1.56074	7840.6	1.55456	7840.93	1.96602
1512479605387	25.9	7834.89	1.90029	7834.8	1.60728	7835.08	1.84669	7835.12	1.76352	7835.07	2.306
1512479606463	25.92	7830.33	1.80278	7830	1.38444	7830.23	1.5359	7830.12	1.33292	7829.4	2.01075
1512479607516	25.91	7831.78	0.971825	7831.28	1.36991	7831.62	1.19293	7831.16	1.46287	7830.46	1.791
1512479608559	25.9	7834.44	1.33333	7834.28	1.27541	7834.69	1.31559	7834.28	1.27541	7834.22	2.00632
1512479609615	25.89	7839.56	1.5899	7839.36	1.22066	7839.54	1.45002	7839.52	1.41774	7839.61	1.95799
1512479610693	25.88	7844.22	1.30171	7843.68	1.40594	7844.15	1.14354	7843.96	1.13578	7842.4	2.23406
1512479611769	25.89	7850.11	1.2693	7849.92	1.49778	7850.08	1.11516	7849.76	1.69017	7849.04	2.17187
1512479612792	25.89	7850.78	1.39443	7850.72	1.4	7851	1.52753	7850.72	1.27541	7850.83	2.12708
1512479613884	25.89	7853.33	1	7852.96	1.48549	7853.38	1.04391	7852.96	1.45717	7852.45	1.76139
1512479614908	25.9	7852.78	1.85592	7852.48	1.44684	7852.46	1.61325	7852.2	1.82574	7852.24	1.96261
1512479615921	25.9	7855.33	2	7854.88	1.50886	7855.08	1.801	7854.56	2.02237	7853.71	1.84807
1512479616945	25.9	7855.67	1.5	7854.92	1.41185	7855.46	1.45002	7855	1.38444	7854.58	2.2835
1512479617996	25.9	7857.44	1.01379	7856.8	1.60728	7857.62	0.960769	7856.88	1.48099	7856.37	2.07023
1512479619054	25.89	7856	1.65831	7856.6	1.91485	7856.23	1.64083	7856.08	1.95619	7856.47	2.26158
1512479620071	25.9	7855.33	0.866025	7856.04	1.56738	7855.77	1.30089	7855.6	1.95789	7855.52	2.06935
1512479621073	25.9	7855	1.5	7855.2	1.35401	7855	1.29099	7854.84	1.67531	7855.22	2.22306
1512479622187	25.9	7854.22	1.30171	7854.2	1.60728	7854.31	1.1094	7854.12	1.61555	7854.08	2.10386
1512479623212	25.9	7852.78	2.68225	7851.92	2.39653	7852.46	2.25889	7851.88	2.2971	7851.87	2.04188
1512479624263	25.89	7851.67	2	7851.92	1.70587	7851.85	1.77229	7851.76	1.83212	7851.67	1.94558
1512479625329	25.89	7850.78	1.7873	7850.76	1.56205	7850.85	1.46322	7850.56	1.82757	7850.8	1.90738
1512479626405	25.89	7850.67	1.93649	7850.32	1.54704	7850.38	1.7097	7850.16	1.99332	7850.32	2.02037
1512479627446	25.88	7850.44	1.33333	7850.08	1.46969	7850.15	1.21423	7849.92	1.82392	7849.84	2.1238
1512479628494	25.86	7849.78	1.98606	7849.8	1.70783	7849.54	1.71345	7849.52	2.0025	7848.38	2.14042
1512479629542	25.88	7846.67	1.93649	7846.6	2.36291	7846.69	2.17503	7846.56	2.36432	7846.32	2.12588
1512479630637	25.88	7846.11	1.36423	7846.04	1.61967	7846.23	1.30089	7846	1.70783	7845.53	1.94459
1512479631647	25.88	7846	1.32288	7845.52	1.85113	7846.08	1.11516	7845.36	2.03879	7845.43	2.02241
1512479632690	25.85	7844.89	1.45297	7844.8	1.80278	7845.15	1.3445	7844.84	1.90788	7844.55	1.85079
1512479633713	25.85	7843.56	1.94365	7843.68	1.74929	7843.69	1.70219	7843.56	2.04287	7843.51	1.95552
1512479634748	25.84	7843.33	1.65831	7843.16	1.57268	7843.23	1.42325	7843	1.82574	7842.18	2.03952

1512479635782	25.84	7842	1.93649	7841.64	1.72916	7841.92	1.70595	7841.52	2.0232	7840.77	2.09907
1512479637369	25.95	7834.67	1.93649	7834.84	2.19241	7835.31	2.17503	7834.92	1.86905	7834.74	2.2633
1512479638435	25.95	7829.44	2.00693	7830.04	1.88149	7830.31	2.17503	7829.92	1.86905	7829.68	1.94733
1512479639536	25.94	7831.44	2.06828	7831.56	2.04287	7831.85	1.81871	7831.2	2.3094	7831.2	1.9237
1512479640598	25.93	7836.56	1.33333	7836.28	1.56844	7836.77	1.16575	7835.8	2.12132	7835.59	1.932
