Timetstamp	FPA	C9	Sigma	C25	Sigma	D13	Sigma	D25	Sigma	R8	Sigma
1512577525060	22.25	8217.44	2.69774	8217.44	2.50133	8217.31	2.65784	8217.48	2.36502	8217.1	2.49909	31.779
1512577526071	22.25	8216.33	2.44949	8215.88	2.02731	8216.15	2.19265	8216	2.04124	8216.11	2.52022	31.7768
1512577527142	22.24	8216.44	2.45515	8216.12	2.16641	8216.54	2.29548	8216	2.17945	8215.94	2.66768	31.7681
1512577528223	22.24	8216.78	2.99073	8215.44	2.70924	8216.54	2.56955	8215.76	2.50466	8215.81	2.76691	31.7746
1512577529249	22.24	8216.33	2.95804	8216.04	2.47454	8216.08	2.78273	8216.16	2.54427	8216.41	2.4224	31.7637
1512577530303	22.25	8218.44	2.74368	8217.72	2.47521	8218.15	2.51151	8218	2.38048	8217.53	2.7253	31.8419
1512577531428	22.26	8217.22	2.48886	8217.2	2.78388	8217.23	2.65059	8217.2	2.5	8217.47	2.7821	31.8071
1512577532470	22.26	8218.22	2.68225	8218.08	2.28983	8218.08	2.78273	8217.92	2.59679	8217.75	2.73343	31.8049
1512577533580	22.25	8217.22	2.33333	8217	2.08167	8217.08	2.17798	8217.08	2.19697	8216.84	2.50002	31.7985
1512577534629	22.25	8220.89	2.66667	8219.6	2.38048	8220.15	2.47811	8219.52	2.63186	8218.18	2.56175	31.818
1512577535637	22.24	8217.89	2.47207	8217.36	1.75309	8217.46	2.22169	8217.32	1.95192	8217.01	2.41415	31.8245
1512577536772	22.25	8218.56	2.55495	8218	2.76887	8218.46	2.50384	8218.08	2.75257	8217.35	2.5938	31.8506
1512577537836	22.25	8218.11	2.02759	8217.96	1.90351	8217.85	2.11527	8217.88	1.9	8218.15	2.42453	31.8463
1512577538936	22.24	8220.56	2.78887	8220.28	2.82135	8220.46	2.50384	8220.08	2.27156	8219.31	2.8186	31.916
1512577539962	22.24	8218.44	2.55495	8218.44	2.08327	8218.54	2.22169	8218.32	1.79629	8218.28	2.28547	31.8398
1512577541121	22.25	8216.22	2.58736	8216.52	2.16256	8216.46	2.47034	8216.32	2.13542	8216.7	2.33203	31.7529
1512577542128	22.24	8216.33	2.06155	8216.12	2.3331	8216.38	2.06311	8216.24	2.27816	8217.47	2.63592	31.7573
1512577543157	22.24	8217.33	2.23607	8216.56	2.46779	8217.08	2.13937	8216.84	2.52784	8216.98	2.90466	31.8028
1512577544178	22.24	8216.78	2.43812	8216.04	2.89367	8216.54	2.93301	8216.24	2.80297	8217.23	2.91235	31.7681
1512577545266	22.24	8218.67	2.34521	8217.64	2.58005	8218.38	2.56705	8217.8	2.72336	8217.49	2.78223	31.8767
1512577546273	22.24	8217.56	2.60342	8216.84	2.76405	8217.38	2.84425	8217	2.69258	8217.19	2.56913	31.8093
1512577547376	22.24	8217.67	2.39792	8216.84	2.2301	8217.46	2.22169	8217.12	2.04776	8216.63	2.25795	31.8158
1512577548396	22.26	8217.44	2.50555	8216.72	2.52521	8217.23	2.74329	8216.92	2.49867	8216.32	2.68491	31.8071
1512577549448	22.25	8216.67	2.06155	8216.36	1.95533	8216.62	2.14237	8216.6	1.95789	8216.51	2.25718	31.7529
1512577550474	22.25	8216.44	1.87824	8215.88	2.16641	8216	2.38048	8215.96	2.15019	8216.26	2.47227	31.7681
1512577551498	22.25	8216.78	1.98606	8216	2	8216.15	2.40992	8216	2.04124	8216.96	2.42563	31.7573
1512577552544	22.24	8217.89	1.83333	8217.8	2.17945	8218.08	1.84669	8218.08	2.17792	8217.55	2.39322	31.818
