Timetstamp	FPA	C9	Sigma	C25	Sigma	D13	Sigma	D25	Sigma	R8	Sigma
1512482175599	25.62	7834.78	2.22361	7834.36	2.79702	7835.23	2.12736	7834.64	2.46441	7834.94	2.31433
1512482176671	25.63	7833.67	1	7833.72	1.69607	7834.08	1.11516	7833.8	1.44338	7834.03	1.94035
1512482177813	25.63	7834.56	1.23603	7834.24	1.5885	7834.77	1.5359	7834.16	1.51877	7834.13	1.86036
1512482178906	25.65	7834.56	1.13039	7834.2	2.02073	7835	1.58114	7834.24	1.89912	7833.59	2.03954
1512482179932	25.65	7832.67	1.87083	7833.28	2.63818	7833.62	2.66266	7832.96	2.47454	7833.48	2.19871
1512482180943	25.65	7834	1.32288	7834.6	2.14087	7834.77	1.73944	7834.52	2.08407	7834.25	2.15126
1512482181969	25.65	7832.22	1.39443	7832.36	1.70489	7832.62	1.60927	7832.12	1.83303	7832.52	2.1289
1512482183106	25.65	7831.67	1.65831	7832	1.93649	7832.15	2.03495	7831.76	1.98494	7832.56	2.11325
1512482184246	25.66	7832	2	7831.76	2.08726	7832.15	1.90815	7831.6	1.97906	7831.85	2.17543
1512482185274	25.67	7831.22	1.7873	7831.08	2.01908	7831.62	1.60927	7831.08	1.93477	7830.94	2.25607
1512482186298	25.68	7829.22	2.22361	7829.76	2.22261	7829.85	2.11527	7829.64	2.07926	7829.93	2.05412
1512482187339	25.68	7827.22	1.71594	7827.24	2.0672	7827.54	1.71345	7827.44	1.98074	7827.56	2.02016
1512482188355	25.67	7827.22	1.56347	7826.96	2.07123	7827.69	1.60128	7827.16	1.90788	7827.45	2.1648
Timetstamp	FPA	C9	Sigma	C25	Sigma	D13	Sigma	D25	Sigma	R8	Sigma
1512482189978	25.68	7825.78	1.09291	7826.08	1.70587	7826.38	1.38675	7826.16	1.43411	7826.1	1.93908
1512482190996	25.68	7825	1.41421	7824.72	1.79165	7825.15	1.3445	7824.76	1.5885	7825.44	2.15248
1512482192021	25.68	7825.44	1.5899	7824.92	1.84662	7825.46	1.33012	7825.08	1.6052	7824.55	2.09884
1512482193036	25.68	7824.56	1.81046	7824	2.21736	7824.23	1.69085	7824.16	1.81842	7823.64	2.04676
1512482194064	25.68	7823.67	2.23607	7823.56	2.45085	7823.69	2.09701	7823.6	1.93649	7823.1	2.09803
1512482195117	25.67	7822	1	7822.24	1.61452	7822.15	1.57301	7822.2	1.5	7821.72	2.10269
1512482196166	25.66	7823.78	1.30171	7823.36	1.84572	7824	1.29099	7823.32	1.79629	7823.14	2.31528
1512482197238	25.67	7821.33	1.65831	7821.48	2.0232	7821.77	1.83275	7821.56	1.95959	7821.81	2.04033
1512482198287	25.66	7820.67	1.32288	7820.44	1.70978	7820.85	1.14354	7820.2	1.44338	7819.88	2.17976
1512482199305	25.67	7819.78	0.666667	7819.44	1.66032	7819.69	0.630425	7819.24	1.16476	7818.81	1.89834
1512482200331	25.66	7818	1.22474	7818.32	1.97315	7818.23	1.16575	7818.24	1.56205	7818.02	1.98031
1512482201383	25.66	7818	1.22474	7818.32	1.97315	7818.23	1.16575	7818.24	1.56205	7818.02	1.98031
