Timetstamp	FPA	C9	Sigma	C25	Sigma	D13	Sigma	D25	Sigma	R8	Sigma
1512485935470	25.76	7834.44	1.01379	7833.76	1.78606	7834.31	0.947331	7834.08	1.70587	7834.28	2.03015
1512485936497	25.78	7833.78	1.39443	7833.28	1.4	7833.46	1.45002	7833.28	1.4	7833.7	2.07184
1512485937523	25.77	7832.78	1.64148	7833.04	2.07123	7832.77	1.58923	7832.84	2.11503	7833.52	1.93943
1512485938578	25.77	7837.56	1.5899	7837.32	2.21209	7837.38	1.50214	7837.08	2.05994	7837.19	1.98156
1512485939589	25.77	7842.22	2.27913	7842.6	2.27303	7842.46	2.25889	7842.2	2.17945	7842.68	2.40412
1512485940598	25.77	7844.78	1.7873	7846.64	2.25241	7845.38	1.75777	7846.48	2.14321	7846.7	2.3123
1512485941626	25.78	7854.11	1.83333	7854.2	1.77951	7853.92	1.60528	7853.8	1.63299	7854.61	2.17449
1512485942647	25.79	7856.56	1.50923	7856.04	1.88149	7856.15	1.57301	7855.68	1.8421	7856.03	2.08893
1512485943720	25.79	7856.56	1.50923	7856.04	1.88149	7856.15	1.57301	7855.68	1.8421	7856.03	2.08893
1512485944818	25.8	7856.56	1.50923	7856.04	1.88149	7856.15	1.57301	7855.68	1.8421	7856.03	2.08893
1512485948526	25.65	7816.33	1.87083	7815.64	1.86815	7816.23	1.69085	7815.76	1.94251	7815.77	2.23137
1512485949623	25.7	7805.22	1.85592	7805.16	2.09523	7805.46	1.76141	7805.04	2.3	7805.05	1.8065
1512485950697	25.71	7802.44	2.06828	7802.28	1.48661	7802.54	1.76141	7802.12	1.76352	7802.18	1.76483
1512485951724	25.75	7801.89	2.14735	7802.08	2.05994	7802.15	2.03495	7802.12	2.10792	7802.42	1.73656
1512485952743	25.77	7803.33	2.17945	7803.04	1.79072	7803.54	1.94145	7803.16	1.81842	7802.73	2.03868
1512485953777	25.78	7806.78	1.09291	7806.24	1.83212	7806.85	1.21423	7806.24	1.83212	7805.08	2.23587
1512485954913	25.81	7805.67	1.73205	7805.56	1.63503	7806	1.58114	7805.44	1.66032	7805.23	1.89642
1512485956005	25.82	7805.78	1.56347	7806.6	1.73205	7806.46	1.71345	7806.48	1.66132	7807.07	1.93782
1512485957039	25.83	7807	1.65831	7807.52	1.66132	7807.69	1.79743	7807.52	1.75879	7807.68	2.20095
1512485958055	25.84	7807	1.73205	7807.68	1.8868	7807.77	1.92154	7807.44	2.12289	7807.69	2.09036
1512485959066	25.85	7807.22	1.92209	7807.88	1.58955	7807.92	2.01914	7807.68	1.79629	7807.95	1.81513
1512485960105	25.88	7807.89	1.96497	7808.2	1.47196	7808.23	1.83275	7807.96	1.69509	7807.95	1.81068
1512485961165	25.88	7806.33	1.58114	7806.76	1.23423	7806.69	1.4367	7806.44	1.41657	7806.1	1.85956
1512485962206	25.88	7805.11	1.16667	7805.68	1.43527	7805.62	1.26085	7805.36	1.7767	7805.12	1.91249
1512485963288	25.89	7805.33	1.73205	7805.24	1.69017	7805.46	1.5064	7805	1.75594	7805.01	1.9053
1512485964329	25.9	7803.56	1.13039	7803.96	1.39881	7804	1.22474	7803.8	1.47196	7803.92	1.82836
1512485965360	25.9	7801.56	1.01379	7801.68	1.02956	7801.77	1.23517	7801.52	1.41774	7802.11	2.08853
1512485966407	25.9	7801	1.32288	7800.88	1.05357	7801.08	1.18754	7800.64	1.46856	7801.3	1.82655
1512485967499	25.91	7800	1.58114	7800.08	1.18743	7799.92	1.32045	7799.68	1.4922	7799.69	1.8666
1512485968569	25.9	7798.33	1.73205	7798.28	2.05183	7798.23	1.69085	7797.8	2.29129	7798	1.96055
1512485969577	25.91	7796	1.93649	7795.68	1.62583	7796	1.68325	7795.44	1.87261	7794.94	1.80042
1512485970624	25.9	7794.89	1.53659	7794.96	1.61967	7795	1.52753	7794.76	1.53514	7794.75	1.86882
1512485971716	25.91	7792.56	2.4037	7793.08	2.08006	7792.69	2.35884	7792.52	2.14321	7792.98	2.14077
1512485972855	25.9	7792.22	1.98606	7791.6	1.73205	7792	1.73205	7791.44	1.91659	7791.72	1.83838
1512485973908	25.91	7789.56	2.45515	7789.64	1.62993	7789.69	2.05688	7789.48	1.66132	7789.96	1.82109
1512485974923	25.91	7787.33	2	7787.88	1.9	7788	2.3094	7787.8	2.14087	7788.01	1.93245
1512485975949	25.89	7785.78	1.85592	7785.72	1.64621	7785.92	2.01914	7785.76	1.87705	7785.8	1.94256
1512485976984	25.88	7784.89	1.45297	7785	1.38444	7785.15	1.51911	7784.84	1.59896	7784.74	1.8014
1512485978052	25.89	7783.44	1.5899	7783.44	1.22746	7783.54	1.56074	7783.2	1.5	7783.39	1.85946
1512485979192	25.89	7779.78	2.22361	7779.8	1.63299	7779.69	1.88788	7779.56	1.63503	7780.53	2.25011
1512485980253	25.88	7780.89	2.31541	7780.8	1.97906	7781	2.16025	7780.52	2.21961	7780.4	2.03137
1512485981288	25.86	7779	2.64575	7779.48	2.21961	7779.46	2.56955	7779.04	2.20756	7779.07	2.03373
1512485982340	25.86	7776.56	2.24227	7776.92	1.75404	7776.77	1.92154	7776.6	1.82574	7777.42	1.98038
1512485983392	25.86	7776	1.93649	7776.48	1.73494	7776.38	1.89466	7776.36	2.2151	7776.7	2.10971
1512485984415	25.86	7775.67	1.58114	7775.56	1.44568	7775.85	1.51911	7775.4	1.68325	7775.67	1.90501
1512485985456	25.85	7773.22	1.71594	7773.76	1.71464	7773.62	1.80455	7773.52	1.73494	7774.03	1.82983
1512485986471	25.84	7772.44	2.35112	7773.28	2.07204	7772.85	2.03495	7772.84	2.21133	7773.13	2.06378
1512485987556	25.84	7771.11	1.83333	7771.96	1.69509	7771.54	1.6641	7771.4	1.97906	7771.41	2.12704
1512485988672	25.84	7769.67	1.65831	7770.4	1.73205	7770	1.63299	7770	2.14087	7769.92	2.03699
1512485989722	25.84	7769.56	2.12786	7770.16	1.72434	7769.92	1.89128	7769.84	2.11503	7769.32	1.92311
1512485990748	25.83	7765.67	2.5	7766.28	2.15097	7765.92	2.39658	7766	2.17945	7766.38	1.93028
1512485991773	25.83	7766.11	1.96497	7766.52	1.8735	7766.23	2.08782	7765.96	2.15019	7766.49	1.9846
1512485992780	25.83	7765	2.29129	7764.96	1.83666	7765	2.16025	7764.52	2.27523	7764.67	1.89082
1512485993848	25.82	7763.89	2.14735	7764.28	1.51438	7764.15	1.90815	7763.76	1.96384	7763.4	2.11182
1512485994865	25.81	7763.33	1.41421	7763.28	1.27541	7763.38	1.3253	7762.96	1.54056	7762.46	1.95517
1512485995940	25.8	7763.11	1.36423	7763.24	1.3	7763.15	1.46322	7762.92	1.68127	7763.32	2.00484
1512485996965	25.8	7762.78	1.98606	7763.32	1.95192	7763.08	2.01914	7762.88	2.24202	7763.06	2.05555
1512485998057	25.79	7761.67	2	7761.8	1.80278	7762.08	1.97744	7761.52	2.12368	7761.42	2.01706
1512485999083	25.78	7760.22	2.04803	7760.68	1.70098	7760.69	1.88788	7760.48	1.85113	7760.59	1.88285
1512486000108	25.78	7759.56	2.00693	7759.6	1.68325	7759.54	1.76141	7759.72	1.72047	7760.26	1.97517
1512486001151	25.77	7757.56	1.94365	7757.84	1.88591	7757.54	1.71345	7757.64	1.91224	7758.34	2.20925
1512486002260	25.77	7758	1.5	7757.8	1.63299	7758	1.29099	7757.72	1.72047	7758.16	1.97908
1512486003305	25.76	7758.67	2.17945	7758.4	1.97906	7758.69	2.09701	7758.12	2.14709	7758.04	2.09124
1512486004485	25.76	7756.78	2.16667	7756.44	1.85023	7756.62	2.10311	7756.2	1.93649	7756.4	1.99802
1512486005579	25.76	7756	1.93649	7755.44	1.82757	7755.77	1.92154	7755.16	2.05508	7756.07	2.09785
1512486006604	25.76	7754.44	1.94365	7754.36	1.70489	7754.31	1.84321	7754.08	1.93477	7754.79	2.0945
1512486007630	25.75	7753.22	1.7873	7752.76	1.5885	7753	1.52753	7752.56	1.70978	7753.8	2.1927
1512486008655	25.75	7753.33	1.73205	7753.12	1.39403	7753.31	1.4367	7753.08	1.41185	7753.56	2.13547
1512486009681	25.72	7752.56	1.94365	7752.72	1.27541	7752.69	1.6525	7752.72	1.48661	7753.22	2.03723
1512486010707	25.72	7752.78	1.98606	7753	1.73205	7753.15	1.90815	7752.96	1.81384	7753.13	1.984
1512486011779	25.71	7752.78	1.09291	7752.44	1.70978	7753.08	1.5525	7752.44	1.70978	7752.36	1.86611
1512486012858	25.71	7750.89	1.45297	7751.12	1.66633	7751.38	1.66024	7750.96	1.74356	7751.73	2.02902
1512486013947	25.74	7750.56	1.33333	7751.24	1.53514	7751.15	1.51911	7750.96	1.61967	7751.81	2.16976
1512486014957	25.71	7750.11	1.61589	7750.72	1.56844	7750.62	1.75777	7750.68	1.67631	7751.21	2.02035
1512486016127	25.7	7749.22	1.92209	7749.84	2.0347	7749.69	2.13638	7749.56	2.2745	7750.33	2.05748
1512486017193	25.7	7748.11	1.16667	7748.36	1.22066	7748.08	1.18754	7748	1.75594	7749.16	2.08169
1512486018214	25.69	7748.67	1.73205	7749	1.32288	7749	1.58114	7748.84	1.57268	7749.92	2.16587
