Timetstamp	FPA	C9	Sigma	C25	Sigma	D13	Sigma	D25	Sigma	R8	Sigma
1512561923868	24.29	7861.89	2.14735	7861.68	2.01494	7862	1.77951	7861.36	1.97653	7860.75	2.392
1512561924972	24.36	7856.67	2.34521	7856.68	1.97315	7856.85	1.99358	7856.4	1.95789	7855.42	2.44417
1512561926013	24.42	7855.44	2.18581	7854.96	2.11108	7855.54	1.8081	7854.68	2.21209	7853.23	2.72766
1512561927023	24.48	7850.67	1.80278	7850.36	2.05913	7851.15	2.03495	7850.16	2.2487	7848.74	2.89173
1512561928064	24.54	7846.22	2.43812	7846.32	1.99416	7846.62	2.43374	7845.92	2.32594	7845.45	2.7077
1512561929074	24.58	7840.89	2.20479	7840.8	2.02073	7841.15	2.23033	7840.64	2.19621	7839.44	2.72676
1512561930100	24.64	7838.22	2.27913	7838.16	2.05508	7838.54	2.29548	7837.88	2.16641	7836.32	2.85599
1512561931142	24.68	7833.78	2.04803	7833.24	2.12681	7834.08	2.06	7833	2.25462	7832.1	2.75182
1512561932164	24.71	7827.78	2.33333	7827.76	2.0672	7828.15	2.26738	7827.48	2.21961	7826.62	2.7055
1512561933182	24.76	7823.78	2.68225	7824	1.95789	7824.15	2.40992	7823.68	2.01494	7823.03	3.02668
1512561934234	24.79	7820.33	1.41421	7820.88	1.98578	7821	1.68325	7820.4	1.93649	7819.78	2.84391
1512561935254	24.82	7816.44	2.29734	7816.2	2.25462	7816.77	1.96443	7815.96	2.26348	7814.79	2.81947
1512561936282	24.85	7813.11	2.61937	7812.36	2.34307	7813.08	2.17798	7812.12	2.45493	7810.65	2.87051
1512561937461	24.89	7808.89	3.1798	7808.96	2.57358	7809	2.76887	7808.64	2.70617	7807.98	2.88126
1512561938533	24.92	7805.11	2.80377	7805.32	2.35797	7805.46	2.78733	7805.16	2.4779	7804.7	2.99319
1512561939585	24.95	7802.22	2.27913	7801.52	2.04369	7802.15	2.0755	7801.48	2.0232	7800.75	3.10624
1512561940600	24.97	7798.67	1.93649	7797.96	1.88149	7798.54	1.71345	7798	1.89297	7797.19	2.96796
1512561941626	25	7793.78	1.85592	7793.44	1.70978	7793.77	1.64083	7793.48	1.71075	7793.11	2.90359
1512561942652	25.03	7792.78	1.64148	7791.68	1.86458	7792.38	1.60927	7791.56	1.89473	7790.16	2.95746
1512561943677	25.05	7789.22	1.39443	7788.72	1.90438	7789.38	1.3253	7788.48	1.96044	7787.25	2.94088
1512561944703	25.07	7785.11	1.05409	7784.48	1.68622	7785.31	1.1094	7784.2	1.75594	7783.22	2.86631
1512561945728	25.08	7782.67	1.5	7782.88	1.66633	7783.08	1.5525	7782.52	1.85113	7781.11	3.04371
