Timetstamp	FPA	C9	Sigma	C25	Sigma	D13	Sigma	D25	Sigma	R8	Sigma
1512408518097	23.44	7868.89	1.2693	7868.88	1.98578	7868.69	1.70219	7869.12	2.04776	7869.31	2.43386
1512408519670	23.56	7889.33	2.06155	7888.56	1.91659	7889.15	1.90815	7888.44	2.00167	7887.36	2.06989
1512408520750	23.56	7883.67	1.73205	7883.04	1.74356	7883.46	1.8081	7883.04	1.74356	7882.15	1.91749
1512408521809	23.56	7883	1.11803	7882.72	1.6207	7882.77	1.58923	7882.44	1.66032	7882.49	1.94484
1512408522836	23.55	7889.22	2.10819	7887.92	2.49867	7888.54	2.29548	7887.88	2.53837	7887.48	2.57
1512408523876	23.55	7895.33	2.73861	7894.48	2.29347	7894.77	2.74329	7893.8	2.66145	7893.54	2.21731
1512408524950	23.55	7898.89	1.36423	7898.08	1.32035	7898.54	1.45002	7897.88	1.53623	7899.02	2.26724
1512408525971	23.55	7901.89	1.69148	7901.2	1.41421	7901.69	1.6525	7901.28	1.42945	7901.57	1.79308
1512408527003	23.56	7905.33	2.23607	7904.96	1.98914	7905.08	2.10006	7904.88	2.18556	7904.88	2.07793
1512408528092	23.59	7906.67	1.93649	7907.2	1.73205	7907	1.91485	7906.96	2.05102	7907.21	2.21936
1512408529165	23.59	7909	1.65831	7908.72	1.54164	7909.08	1.70595	7908.84	1.59896	7909.65	2.64579
1512408530267	23.59	7910.56	2.06828	7910.52	1.82848	7910.77	1.92154	7910.28	1.90438	7910.78	2.34394
1512408531327	23.6	7912.44	1.74005	7913	2.08167	7912.92	2.2532	7912.84	2.09523	7912.7	2.04145
1512408532353	23.59	7912.11	1.2693	7912.68	1.62583	7912.46	1.61325	7912.32	1.65126	7912.57	1.85869
1512408533391	23.6	7912.11	1.76383	7912.12	2.02731	7912.46	2.29548	7911.84	2.0347	7912.12	1.89882
1512408534458	23.61	7912	2.34521	7912.84	1.95107	7912.85	2.54448	7912.76	1.98494	7912.55	1.93889
1512408535610	23.6	7911.44	1.66667	7912.32	1.62583	7911.92	1.89128	7911.8	1.77951	7912.5	2.12163
1512408536639	23.61	7912	1.65831	7912.2	2.02073	7912.38	1.75777	7912	2.02073	7911.57	2.05815
1512408537665	23.61	7911	2.17945	7911	1.82574	7911.08	1.89128	7910.8	1.91485	7910.63	2.00894
1512408538691	23.61	7910.56	1.87824	7910.16	1.74833	7910.38	1.7097	7909.88	1.78699	7910.05	2.03432
1512408539716	23.61	7909.11	2.26078	7908.76	1.89912	7909.23	2.04751	7908.6	2	7908.93	2.02457
1512408540742	23.61	7908.22	2.16667	7908.6	2	7908.69	2.13638	7908.48	2.0025	7908.59	2.17785
1512408541816	23.61	7907	1.93649	7907.08	1.68127	7907.08	1.97744	7906.72	1.83757	7907.41	2.27399
1512408542891	23.61	7907.56	1.81046	7906.84	1.72434	7907.38	1.66024	7906.56	1.89473	7906.34	2.22606
1512408543927	23.61	7905.78	1.98606	7905.68	1.86458	7906	2.04124	7905.24	1.96384	7905.59	2.06744
1512408544972	23.6	7905.11	1.36423	7905.24	1.39284	7905.15	1.21423	7904.84	1.51877	7905.17	2.10987
1512408545993	23.59	7906	2.17945	7905.28	1.94765	7905.77	2.0064	7905.28	2.05183	7904.81	2.23524
1512408547010	23.59	7903.11	1.90029	7903.24	1.66533	7903.31	1.70219	7903.24	1.64012	7903.42	2.10055
1512408548036	23.59	7902.78	1.85592	7902.4	1.65831	7902.46	1.8081	7902.44	1.68523	7902.6	2.22495
1512408549045	23.59	7902.11	2.08833	7902	2.04124	7901.92	2.17798	7902	2.02073	7902.34	2.0507
1512408550087	23.57	7902.56	1.424	7902.2	1.60728	7901.92	1.75412	7901.84	1.81842	7901.67	1.84057
1512408551113	23.56	7902.44	1.5899	7901.96	1.7195	7901.92	1.84669	7902	2.02073	7901.5	1.92604
