Timetstamp	FPA	C9	Sigma	C25	Sigma	D13	Sigma	D25	Sigma	R8	Sigma
1512477082753	25.52	7782.33	1.11803	7782	1.73205	7782.46	1.45002	7782.28	2.26421	7782.64	2.11681
1512477083882	25.59	7860	1.80278	7858.96	1.7195	7859.85	1.51911	7859.2	1.73205	7858.32	2.25241
1512477084906	25.58	7856.67	1.32288	7856.24	1.39284	7856.38	1.26085	7856.2	1.32288	7856.92	1.93896
1512477085912	25.57	7862	1.32288	7861.88	1.50886	7861.85	1.28103	7862	1.47196	7862.28	1.92208
1512477086923	25.57	7868	1	7868.48	1.44684	7868.23	1.36344	7868.48	1.55778	7868.17	2.03787
1512477087964	25.57	7874	1.22474	7873.52	1.63605	7873.54	1.71345	7873.36	1.93391	7873.32	1.85366
1512477088993	25.57	7882.78	2.90593	7882.04	2.4235	7882.46	2.56955	7882.44	2.88791	7882.58	2.17366
1512477089997	25.58	7882.56	1.33333	7882.48	1.38804	7882.62	1.1209	7882.56	1.47422	7883.25	1.82012
1512477091013	25.58	7887	1.11803	7886.76	1.23423	7886.92	0.954074	7886.6	1.1547	7886.43	1.65408
1512477092136	25.61	7888.67	1.58114	7888	1.68325	7888.62	1.3253	7887.96	1.45717	7888.3	1.71417
1512477093291	25.61	7893.11	2.20479	7892.32	1.93046	7892.85	2.03495	7892.64	2.05913	7892.19	2.03601
1512477094330	25.62	7891.78	1.39443	7892.08	1.68127	7891.77	1.36344	7891.92	1.25565	7892.84	1.69763
1512477095374	25.64	7893	1.41421	7893	1.60728	7893	1.41421	7892.92	1.46969	7894.03	1.90513
1512477096381	25.63	7894.56	1.33333	7894.64	1.55134	7894.54	1.61325	7894.36	1.60416	7894.3	1.55217
1512477097514	25.63	7894.56	1.33333	7894.92	1.49778	7894.54	1.39137	7894.56	1.26095	7895.09	1.84606
1512477098546	25.64	7898.44	1.23603	7898.76	1.73877	7898.62	1.1209	7898.64	1.70489	7898.96	1.77316
1512477099621	25.64	7899.78	1.09291	7900.08	1.11505	7899.92	1.11516	7900	1.08012	7899.89	1.57902
1512477100687	25.63	7899.67	1.41421	7899.8	1.68325	7899.62	1.50214	7899.52	1.5843	7900.17	1.9058
1512477101729	25.65	7899.44	1.23603	7899.32	1.67631	7899.08	1.44115	7899.32	1.57374	7899.86	1.92736
1512477102735	25.65	7898.11	1.2693	7898.04	1.74356	7897.92	1.44115	7898.16	1.8412	7898.51	2.15329
1512477103760	25.65	7898.89	1.36423	7898.4	2.06155	7898.77	1.69085	7898.32	2.17409	7898.03	2.00496
1512477104786	25.65	7897.44	1.424	7897.84	1.67531	7897.69	1.75046	7897.56	1.70978	7897.79	1.78201
1512477105821	25.65	7895.78	1.64148	7896.44	1.55671	7896	1.63299	7896.28	1.51438	7896.82	1.76578
1512477106844	25.65	7896.56	0.881917	7896.68	1.46401	7896.54	1.1266	7896.64	1.49666	7897.03	1.86367
1512477107991	25.66	7895.78	1.09291	7895.76	1.26754	7895.77	1.01274	7895.64	1.22066	7895.64	1.88239
1512477109002	25.65	7894.89	1.53659	7895.16	1.7	7895.08	1.60528	7894.84	1.67531	7894.93	1.99868
1512477110137	25.65	7894.22	2.22361	7894.24	2.0672	7894	1.87083	7893.68	2.24944	7893.86	2.03258
1512477111177	25.65	7895.56	1.5899	7895.68	1.67631	7895.38	1.60927	7895.12	1.45258	7895.68	2.06372
1512477112209	25.65	7895.44	2.00693	7895.68	1.70098	7895.31	1.84321	7895.28	1.74452	7895.22	2.06516
1512477113284	25.65	7893.67	1.87083	7894.12	1.71561	7893.69	1.70219	7893.8	1.60728	7894.16	1.90397
1512477114359	25.65	7892.67	1.58114	7893.16	1.65025	7892.85	1.62512	7892.96	1.54056	7893.18	1.73002
1512477115398	25.64	7891.44	1.66667	7891.56	1.55671	7891.38	1.50214	7891.52	1.71075	7891.8	1.75671
1512477116438	25.65	7891.56	0.726483	7891.52	1.35769	7891.38	0.767948	7891.36	1.18603	7891.64	1.86611
1512477117451	25.65	7890.78	1.20185	7890.36	1.49666	7890.46	1.39137	7890.36	1.43991	7890.53	1.90407
1512477118489	25.65	7890.33	1.87083	7889.8	1.68325	7890	1.77951	7889.4	1.75594	7889.17	1.94547
1512477119508	25.64	7889.67	1.87083	7889.4	1.60728	7889.54	1.71345	7889.24	1.64012	7889.34	1.83017
1512477120541	25.64	7886.22	1.09291	7887.12	1.53623	7886.31	1.1094	7886.8	1.29099	7887.83	1.88104
1512477121552	25.64	7886.33	0.707107	7886.52	1.93907	7886.38	1.19293	7886.32	1.40594	7887.02	1.7259
1512477122637	25.63	7886.56	1.01379	7886.92	1.6052	7886.62	0.960769	7886.72	1.13725	7887.37	1.92689
1512477123702	25.63	7886.56	1.01379	7886.92	1.6052	7886.62	0.960769	7886.72	1.13725	7887.37	1.92689
1512477124797	25.64	7886.56	1.01379	7886.92	1.6052	7886.62	0.960769	7886.72	1.13725	7887.37	1.92689
1512477128757	25.44	7843.89	1.90029	7843.96	2.15019	7844.23	1.87767	7844.24	2.29637	7844.43	2.14974
1512477130024	25.5	7833.11	1.05409	7833.12	1.45258	7833.15	1.14354	7833.32	1.57374	7833.38	2.17872
1512477131091	25.52	7829.56	1.50923	7829.64	1.55134	7829.69	1.4367	7829.76	1.56205	7828.83	1.96235
1512477132204	25.53	7828.67	2.17945	7828.48	2.08407	7828.38	1.89466	7828.52	2.12368	7828.35	2.15511
1512477133284	25.55	7829.89	1.2693	7830.48	1.78232	7830.08	1.38212	7830	2.04124	7830.19	1.89559
1512477134429	25.56	7832.56	2.29734	7832.48	2.10396	7832.62	2.06311	7832.44	2.08327	7832.6	2.12657
1512477135449	25.58	7832.56	2.69774	7832.88	2.16641	7832.69	2.32324	7832.76	2.29637	7834.12	2.3299
1512477136561	25.59	7832.56	2.78887	7832.68	1.97315	7832.38	2.39925	7832.52	2.16256	7833.84	2.11889
1512477137589	25.61	7836.33	1.58114	7836.2	1.84842	7836.31	1.60128	7836.08	1.91311	7837.11	2.66215
1512477138601	25.62	7837.56	1.5899	7837.08	1.84662	7837.69	1.84321	7836.92	1.84662	7836.82	1.95876
1512477139702	25.63	7837	2	7836.52	1.8735	7837	1.91485	7836.4	2.14087	7836.85	2.09655
1512477140727	25.64	7835.56	1.74005	7835.64	1.823	7835.54	1.5064	7835.52	2.0232	7836.24	2.13726
1512477141740	25.64	7835.67	1.65831	7836.08	1.41185	7835.85	1.46322	7835.84	1.59896	7836.46	1.91196
1512477142845	25.64	7836	1.58114	7835.92	1.75404	7835.69	1.6525	7835.84	1.90788	7836.27	1.85748
1512477143916	25.64	7835.22	1.85592	7835.68	1.62583	7835.31	1.6525	7835.52	1.98158	7836.46	1.88187
1512477144926	25.65	7836.56	1.5899	7836.44	1.82757	7836.31	1.4367	7836.28	2.09205	7836.76	2.19321
1512477145951	25.65	7835.89	1.16667	7835.2	1.91485	7835.38	1.66024	7835.28	1.69607	7835.66	2.068
