#TIBB	FPA	C9	C25	D13	D25	R8
19.911	16.27671875	8036.6425	8036.9825	8036.596875	8036.749375	8037.372969
19.911	18.63954887	7996.709173	7996.586767	7996.61015	7996.398797	7996.409474
19.911	20.99873684	7874.613895	7874.982737	7874.818	7874.523368	7874.958
19.911	23.27765625	7880.317813	7880.153125	7880.366406	7879.90125	7880.225625
19.911	25.62985782	7765.104882	7765.577441	7765.301043	7765.549005	7766.014787
#19.911	27.96322034	7681.071525	7681.486102	7681.168475	7681.390508	7681.882373
24.914	13.9736194	8231.985522	8231.747015	8231.622575	8231.678955	8231.406679
24.914	16.20018519	8205.82537	8205.891111	8205.977037	8205.471111	8205.788519
24.914	18.58106383	8134.019787	8134.09234	8134.100106	8134.031915	8134.359681
24.914	20.9725	8053.42625	8054.14	8053.646944	8054.055556	8054.388194
#24.914	23.27324786	7956.504188	7956.305299	7956.509744	7956.139145	7956.04735
